"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.016,-0.034
"2","PM",0.1,0.0312,-0.0688
"3","PM",0.25,0.088,-0.162
"4","PM",0.75,0.7976,0.0476
"5","PM",0.9,0.994,0.094
"6","PM",0.95,0.9974,0.0474
"7","CB",0.05,0.0908,0.0408
"8","CB",0.1,0.1236,0.0236
"9","CB",0.25,0.2156,-0.0344
"10","CB",0.75,0.6958,-0.0542
"11","CB",0.9,0.9516,0.0516
"12","CB",0.95,0.9664,0.0164
"13","GR",0.05,0.0829999999999999,0.033
"14","GR",0.1,0.1138,0.0138
"15","GR",0.25,0.1956,-0.0544
"16","GR",0.75,0.7018,-0.0482
"17","GR",0.9,0.9562,0.0562
"18","GR",0.95,0.971,0.021
"19","ML",0.05,0.3512,0.3012
"20","ML",0.1,0.375,0.275
"21","ML",0.25,0.4194,0.1694
"22","ML",0.75,0.555,-0.195
"23","ML",0.9,0.7072,-0.1928
"24","ML",0.95,0.7398,-0.2102
