"","var_true_theta"
"1",0.869277749923302
"2",1.28192658473322
"3",0.992400698827831
"4",0.833381541315917
"5",1.35462921853451
"6",0.926462863732868
"7",1.19176541952421
"8",0.970798692038284
"9",1.11635906538555
"10",1.06696341872146
"11",1.33027871882042
"12",0.956317482881293
"13",1.08872192051607
"14",0.765528991644292
"15",0.994286182729327
"16",1.0947418047325
"17",0.628080722537901
"18",0.852985154430859
"19",1.01418216987132
"20",0.599369590029403
"21",0.874851601730452
"22",0.915153437067169
"23",0.890790853651831
"24",1.30563692052065
"25",0.395060230543293
"26",0.999401691431183
"27",1.06948155618002
"28",0.933368705099731
"29",1.06055492271251
"30",1.14229619922793
"31",1.27591273967467
"32",1.04181013038112
"33",0.701856827080293
"34",0.970303598606468
"35",1.00068910304083
"36",0.836496253884614
"37",1.01300046300203
"38",1.2550332585175
"39",0.886712415881345
"40",0.886774701129308
"41",0.801345098057643
"42",1.15003410531764
"43",1.32530724392286
"44",1.17198282158105
"45",1.24508113949126
"46",1.1822957737292
"47",1.00094024662236
"48",1.02808471081379
"49",1.01950136042182
"50",0.847607107706834
"51",0.99917260935467
"52",0.840179090475939
"53",1.29186640605561
"54",1.08387968989031
"55",0.758325116538151
"56",0.857050575365149
"57",1.16283635607916
"58",1.2767336103021
"59",1.35783880340819
"60",1.23304931980286
"61",1.17749222653908
"62",1.14460572217089
"63",0.926570747109836
"64",0.644733843266159
"65",0.482086914092899
"66",0.98483243472709
"67",0.713078131584963
"68",1.25521677623536
"69",1.11674557309121
"70",0.997708154002185
"71",0.80167440546981
"72",1.07018120637643
"73",0.78507360449417
"74",0.763240062304076
"75",1.08924091353091
"76",1.00166729510493
"77",1.16323149257379
"78",0.995003899805237
"79",1.19914557984798
"80",0.833218269562817
"81",0.898724391073478
"82",1.07701695950623
"83",1.17165287890574
"84",1.156968258265
"85",1.2319465670177
"86",0.646031044777429
"87",1.259707608164
"88",1.19528355339494
"89",1.03144940718493
"90",1.00315550127656
"91",0.946317899683927
"92",0.741705043721014
"93",0.61472620759152
"94",0.873315407894927
"95",0.861306568785178
"96",0.730272859965517
"97",0.853551884308548
"98",1.35368792496049
"99",1.48341413342801
"100",1.19346648997528
