"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,0
"[-4.56,-4.32)",0,0,0,0
"[-4.32,-4.08)",0,0,0,0
"[-4.08,-3.84)",0,0,0,0
"[-3.84,-3.6)",0,0,0,0
"[-3.6,-3.36)",0,0,0,0
"[-3.36,-3.12)",0,0,0,0
"[-3.12,-2.88)",0,0,0,0
"[-2.88,-2.64)",0,0,0,0
"[-2.64,-2.4)",0,0,0,8e-04
"[-2.4,-2.16)",4e-04,0.0016,8e-04,0.004
"[-2.16,-1.92)",0.0028,0.0044,0.0044,0.0048
"[-1.92,-1.68)",0.0068,0.0068,0.0112,0.0104
"[-1.68,-1.44)",0.0128,0.016,0.0204,0.0224
"[-1.44,-1.2)",0.0264,0.036,0.0376,0.04
"[-1.2,-0.96)",0.0456,0.0536,0.058,0.0688
"[-0.96,-0.72)",0.0932,0.096,0.0876,0.0932
"[-0.72,-0.48)",0.1356,0.1284,0.1136,0.118
"[-0.48,-0.24)",0.1484,0.14,0.1304,0.1248
"[-0.24,0)",0.1388,0.1252,0.1164,0.1124
"[0,0.24)",0.0856,0.084,0.0932,0.076
"[0.24,0.48)",0.0628,0.06,0.0684,0.0588
"[0.48,0.72)",0.0384,0.04,0.0504,0.0388
"[0.72,0.96)",0.0352,0.0316,0.0364,0.0356
"[0.96,1.2)",0.0308,0.03,0.0316,0.0328
"[1.2,1.44)",0.0308,0.0288,0.0304,0.0264
"[1.44,1.68)",0.0264,0.0264,0.026,0.026
"[1.68,1.92)",0.0248,0.0272,0.0276,0.032
"[1.92,2.16)",0.0232,0.0216,0.0192,0.0252
"[2.16,2.4)",0.0132,0.0188,0.0152,0.0196
"[2.4,2.64)",0.0084,0.0092,0.0108,0.012
"[2.64,2.88)",0.0064,0.0092,0.006,0.0104
"[2.88,3.12)",0.0032,0.0032,0.004,0.004
"[3.12,3.36)",0,0.002,4e-04,0.0016
"[3.36,3.6)",0,0,0,8e-04
"[3.6,3.84)",0,0,0,4e-04
"[3.84,4.08)",0,0,0,0
"[4.08,4.32)",0,0,0,0
"[4.32,4.56)",0,0,0,0
"[4.56,4.8)",0,0,0,0
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,0,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
