"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0162,-0.0338
"2","PM",0.1,0.0364,-0.0636
"3","PM",0.25,0.1568,-0.0932
"4","PM",0.75,0.852799999999999,0.1028
"5","PM",0.9,0.9596,0.0596
"6","PM",0.95,0.9836,0.0336
"7","CB",0.05,0.0466,-0.0034
"8","CB",0.1,0.0922,-0.0078
"9","CB",0.25,0.2434,-0.0066
"10","CB",0.75,0.7712,0.0212
"11","CB",0.9,0.9046,0.0046
"12","CB",0.95,0.9494,-6e-04
"13","GR",0.05,0.051,0.001
"14","GR",0.1,0.0945999999999999,-0.0054
"15","GR",0.25,0.2296,-0.0204
"16","GR",0.75,0.7808,0.0308
"17","GR",0.9,0.9096,0.0096
"18","GR",0.95,0.9498,-2e-04
"19","ML",0.05,0.1242,0.0742
"20","ML",0.1,0.1878,0.0878
"21","ML",0.25,0.3248,0.0748
"22","ML",0.75,0.6894,-0.0606
"23","ML",0.9,0.8162,-0.0838
"24","ML",0.95,0.8788,-0.0712
