"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,0
"[-4.56,-4.32)",0,0,0,0
"[-4.32,-4.08)",0,0,0,0
"[-4.08,-3.84)",0,0,0,0
"[-3.84,-3.6)",0,0,0,0
"[-3.6,-3.36)",0,0,0,0
"[-3.36,-3.12)",0,0,0,0
"[-3.12,-2.88)",0,0,0,0
"[-2.88,-2.64)",0,0,0,2e-04
"[-2.64,-2.4)",4e-04,4e-04,4e-04,4e-04
"[-2.4,-2.16)",0.001,0.0016,0.0018,0.0016
"[-2.16,-1.92)",0.0018,0.0036,0.0066,0.0054
"[-1.92,-1.68)",0.0098,0.0134,0.015,0.0188
"[-1.68,-1.44)",0.0236,0.025,0.0274,0.0306
"[-1.44,-1.2)",0.0388,0.0462,0.046,0.0498
"[-1.2,-0.96)",0.0702,0.0728,0.0676,0.0802
"[-0.96,-0.72)",0.0944,0.0892,0.0868,0.0846
"[-0.72,-0.48)",0.1138,0.1094,0.1026,0.1022
"[-0.48,-0.24)",0.1112,0.1082,0.107,0.1
"[-0.24,0)",0.1118,0.1054,0.1032,0.095
"[0,0.24)",0.0894,0.0862,0.0912,0.0842
"[0.24,0.48)",0.0756,0.0724,0.0762,0.0668
"[0.48,0.72)",0.063,0.0626,0.062,0.062
"[0.72,0.96)",0.0464,0.0458,0.0488,0.047
"[0.96,1.2)",0.0356,0.0374,0.037,0.0384
"[1.2,1.44)",0.0268,0.0274,0.0298,0.0326
"[1.44,1.68)",0.0252,0.023,0.023,0.0226
"[1.68,1.92)",0.0162,0.0202,0.0182,0.0218
"[1.92,2.16)",0.0118,0.0124,0.0146,0.0162
"[2.16,2.4)",0.0114,0.0106,0.0108,0.0108
"[2.4,2.64)",0.0072,0.0096,0.0082,0.0094
"[2.64,2.88)",0.0036,0.0046,0.004,0.0064
"[2.88,3.12)",0.0042,0.0034,0.0044,0.0034
"[3.12,3.36)",0.0018,0.003,0.002,0.003
"[3.36,3.6)",0.0018,0.002,0.002,0.0024
"[3.6,3.84)",8e-04,0.001,8e-04,0.001
"[3.84,4.08)",0.001,0.0014,0.0012,0.0014
"[4.08,4.32)",2e-04,6e-04,2e-04,6e-04
"[4.32,4.56)",4e-04,2e-04,4e-04,2e-04
"[4.56,4.8)",2e-04,2e-04,2e-04,2e-04
"[4.8,5.04)",2e-04,4e-04,2e-04,4e-04
"[5.04,5.28)",4e-04,0,4e-04,0
"[5.28,5.52)",0,4e-04,0,4e-04
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
