"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.025,-0.025
"2","PM",0.1,0.0642,-0.0358
"3","PM",0.25,0.22,-0.03
"4","PM",0.75,0.7778,0.0278
"5","PM",0.9,0.926,0.026
"6","PM",0.95,0.9674,0.0174
"7","CB",0.05,0.0462,-0.0038
"8","CB",0.1,0.0989999999999999,-0.001
"9","CB",0.25,0.2532,0.0032
"10","CB",0.75,0.7486,-0.0014
"11","CB",0.9,0.891,-0.009
"12","CB",0.95,0.948,-0.002
"13","GR",0.05,0.0462,-0.0038
"14","GR",0.1,0.0986,-0.0014
"15","GR",0.25,0.247,-0.003
"16","GR",0.75,0.7458,-0.0042
"17","GR",0.9,0.896,-0.004
"18","GR",0.95,0.9468,-0.0032
"19","ML",0.05,0.0726,0.0226
"20","ML",0.1,0.1334,0.0334
"21","ML",0.25,0.2796,0.0296
"22","ML",0.75,0.7216,-0.0284
"23","ML",0.9,0.8598,-0.0402
"24","ML",0.95,0.919,-0.031
