"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,0
"[-4.56,-4.32)",0,0,0,0
"[-4.32,-4.08)",0,0,0,4e-04
"[-4.08,-3.84)",0,2e-04,0,2e-04
"[-3.84,-3.6)",0,2e-04,0,0.001
"[-3.6,-3.36)",4e-04,2e-04,4e-04,4e-04
"[-3.36,-3.12)",2e-04,0.0012,2e-04,0.0012
"[-3.12,-2.88)",2e-04,4e-04,0.001,0.002
"[-2.88,-2.64)",0.0012,0.0014,0.0014,0.0032
"[-2.64,-2.4)",8e-04,0.0032,0.0038,0.0056
"[-2.4,-2.16)",0.0034,0.0042,0.0058,0.0124
"[-2.16,-1.92)",0.0052,0.0096,0.0122,0.0184
"[-1.92,-1.68)",0.0098,0.0216,0.0166,0.0228
"[-1.68,-1.44)",0.0244,0.0286,0.0298,0.0386
"[-1.44,-1.2)",0.0346,0.0468,0.0422,0.044
"[-1.2,-0.96)",0.0522,0.0546,0.0548,0.0534
"[-0.96,-0.72)",0.0722,0.0674,0.0656,0.063
"[-0.72,-0.48)",0.082,0.0726,0.077,0.0676
"[-0.48,-0.24)",0.0932,0.0832,0.0872,0.0718
"[-0.24,0)",0.1096,0.0978,0.0954,0.084
"[0,0.24)",0.1126,0.0948,0.096,0.0872
"[0.24,0.48)",0.1062,0.0962,0.092,0.085
"[0.48,0.72)",0.0866,0.0772,0.079,0.0734
"[0.72,0.96)",0.0662,0.065,0.0672,0.063
"[0.96,1.2)",0.0458,0.051,0.0536,0.0478
"[1.2,1.44)",0.0422,0.0438,0.04,0.042
"[1.44,1.68)",0.0208,0.0298,0.029,0.0356
"[1.68,1.92)",0.0136,0.0174,0.0208,0.0264
"[1.92,2.16)",0.0104,0.014,0.0132,0.016
"[2.16,2.4)",0.0048,0.0104,0.0088,0.0144
"[2.4,2.64)",6e-04,0.0052,0.004,0.0084
"[2.64,2.88)",4e-04,0.0012,0.0024,0.0064
"[2.88,3.12)",0,4e-04,2e-04,0.003
"[3.12,3.36)",4e-04,0,4e-04,0.001
"[3.36,3.6)",0,2e-04,0,0
"[3.6,3.84)",0,2e-04,0,0
"[3.84,4.08)",0,0,0,4e-04
"[4.08,4.32)",0,0,0,0
"[4.32,4.56)",0,0,0,0
"[4.56,4.8)",0,0,0,0
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,0,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
