"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,4e-04,0.0056
"[-5.76,-5.52)",0,0,0,0.0076
"[-5.52,-5.28)",0,4e-04,4e-04,0.004
"[-5.28,-5.04)",0,0.0012,4e-04,0.0052
"[-5.04,-4.8)",0,0,0,0.0068
"[-4.8,-4.56)",0,4e-04,8e-04,0.0076
"[-4.56,-4.32)",0,0.0012,4e-04,0.01
"[-4.32,-4.08)",0,8e-04,0.0016,0.0092
"[-4.08,-3.84)",8e-04,0.0016,4e-04,0.014
"[-3.84,-3.6)",0,0.0012,0.0016,0.0104
"[-3.6,-3.36)",4e-04,0.0032,4e-04,0.0172
"[-3.36,-3.12)",4e-04,0.0012,0.0036,0.0152
"[-3.12,-2.88)",4e-04,0.0036,0.0028,0.0196
"[-2.88,-2.64)",0,0.0032,0.0056,0.0176
"[-2.64,-2.4)",0.0012,0.0064,0.0044,0.0172
"[-2.4,-2.16)",0.0012,0.0084,0.01,0.0196
"[-2.16,-1.92)",0.002,0.0164,0.0088,0.0192
"[-1.92,-1.68)",8e-04,0.018,0.0184,0.0196
"[-1.68,-1.44)",0.004,0.0284,0.0188,0.0252
"[-1.44,-1.2)",0.006,0.03,0.03,0.0232
"[-1.2,-0.96)",0.034,0.0524,0.0488,0.0332
"[-0.96,-0.72)",0.0748,0.0528,0.0592,0.0284
"[-0.72,-0.48)",0.0712,0.0796,0.0748,0.0296
"[-0.48,-0.24)",0.118,0.0824,0.086,0.0336
"[-0.24,0)",0.164,0.0816,0.0976,0.032
"[0,0.24)",0.1124,0.0928,0.094,0.03
"[0.24,0.48)",0.1364,0.0812,0.0908,0.0284
"[0.48,0.72)",0.1056,0.0748,0.0784,0.0296
"[0.72,0.96)",0.0644,0.052,0.0668,0.0312
"[0.96,1.2)",0.0444,0.0544,0.0512,0.0272
"[1.2,1.44)",0.0264,0.0456,0.04,0.0268
"[1.44,1.68)",0.0176,0.0328,0.0252,0.0276
"[1.68,1.92)",0.006,0.026,0.0192,0.0212
"[1.92,2.16)",0.0028,0.0152,0.0156,0.0252
"[2.16,2.4)",0.0012,0.0108,0.0108,0.0176
"[2.4,2.64)",4e-04,0.0108,0.0064,0.0192
"[2.64,2.88)",0,0.0068,0.0056,0.0176
"[2.88,3.12)",4e-04,0.0044,0.0044,0.0136
"[3.12,3.36)",8e-04,0.0044,0.004,0.0172
"[3.36,3.6)",4e-04,0.0024,0.002,0.012
"[3.6,3.84)",0,0.0028,0.002,0.0124
"[3.84,4.08)",4e-04,0.002,0.0016,0.0104
"[4.08,4.32)",0,0.0012,0.0012,0.0148
"[4.32,4.56)",0,8e-04,0.0016,0.01
"[4.56,4.8)",0,4e-04,8e-04,0.0068
"[4.8,5.04)",0,0,8e-04,0.0072
"[5.04,5.28)",8e-04,0,4e-04,0.0096
"[5.28,5.52)",4e-04,4e-04,4e-04,0.008
"[5.52,5.76)",0,8e-04,4e-04,0.0068
"[5.76,6)",0,4e-04,0,0.0088
