"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0322,-0.0178
"2","PM",0.1,0.0604,-0.0396
"3","PM",0.25,0.1422,-0.1078
"4","PM",0.75,0.7424,-0.0076
"5","PM",0.9,0.9814,0.0814
"6","PM",0.95,0.991,0.041
"7","CB",0.05,0.0892,0.0392
"8","CB",0.1,0.1272,0.0272
"9","CB",0.25,0.2208,-0.0292
"10","CB",0.75,0.6824,-0.0676
"11","CB",0.9,0.9446,0.0446
"12","CB",0.95,0.97,0.02
"13","GR",0.05,0.0924,0.0424
"14","GR",0.1,0.129,0.029
"15","GR",0.25,0.2156,-0.0344
"16","GR",0.75,0.675,-0.075
"17","GR",0.9,0.95,0.05
"18","GR",0.95,0.9738,0.0238
"19","ML",0.05,0.184,0.134
"20","ML",0.1,0.2244,0.1244
"21","ML",0.25,0.3232,0.0732
"22","ML",0.75,0.629,-0.121
"23","ML",0.9,0.8706,-0.0294
"24","ML",0.95,0.908,-0.042
