"","var_true_theta"
"1",1.30340467626653
"2",0.927540264556879
"3",0.847450858935772
"4",0.991003197584881
"5",0.846036579751015
"6",1.25522833850736
"7",1.3729673868268
"8",0.880577447175283
"9",1.16770970859019
"10",0.881375240778674
"11",0.771638915597258
"12",0.947872378424279
"13",0.797837796362899
"14",0.86049812263085
"15",1.20850873153925
"16",1.04335540256832
"17",0.749223213562315
"18",0.703903868289092
"19",1.23218747670801
"20",1.05183313469538
"21",1.01705321123032
"22",1.34993705722154
"23",1.02246018278869
"24",0.924088335305999
"25",0.895775093175828
"26",1.18091810975431
"27",0.922539809379054
"28",0.849696282082521
"29",1.00200820486354
"30",1.12834929701546
"31",0.770039804567718
"32",1.33708201302566
"33",1.20133592668296
"34",0.933927555654828
"35",1.17416731332515
"36",0.871174004883648
"37",0.738782594515191
"38",0.832497696896713
"39",0.733761668469048
"40",1.1591259644512
"41",0.756200008344592
"42",1.48979141481872
"43",1.07046401970778
"44",0.990848283621173
"45",1.02209259883122
"46",1.02091004076544
"47",0.981508003438569
"48",1.16269914346787
"49",0.703686743889948
"50",1.08750700412221
"51",1.16502827246862
"52",0.788693378776176
"53",1.10935723372304
"54",1.39742138101139
"55",1.20608990289524
"56",0.878143901026097
"57",0.988652062589014
"58",0.480365214763734
"59",1.03700722761321
"60",1.03536336886695
"61",0.901165480339706
"62",0.887122944183883
"63",1.04936849438737
"64",1.00540689773887
"65",0.903370541456786
"66",1.35644605352111
"67",1.04994659746514
"68",1.16213636202278
"69",1.07522303491255
"70",1.01773285009074
"71",0.842957881107971
"72",1.18677767901273
"73",0.688243807557574
"74",1.28680763137016
"75",0.782070227176776
"76",0.924459583039756
"77",0.940647292132804
"78",0.862554294050274
"79",1.02004735530573
"80",0.673997196655747
"81",0.825242954516899
"82",1.24126179258023
"83",1.21403997164099
"84",0.843456662129316
"85",1.26886065225103
"86",1.25362418485195
"87",0.823086985275054
"88",1.07796823511743
"89",1.15480708454906
"90",0.924791390328277
"91",1.05077056011773
"92",0.960273131022323
"93",1.39919474676214
"94",0.72098445454201
"95",1.10287771910664
"96",0.573614563955909
"97",1.10460776344666
"98",0.878812340500022
"99",1.0088874793258
"100",1.05682117192735
