"","WSEL_PM","WSEL_CB","WSEL_GR","WSEL_ML"
"1",0.0081688273644697,0.0155252890355653,0.0235438788810099,0.00840334597173024
"2",0.0103055817243918,0.0161721455287242,0.0292915236463339,0.0102962698013236
"3",0.011846646217251,0.0197499139551229,0.0364845271899348,0.0120249668238379
"4",0.011413603567023,0.0157847332986694,0.0260085527156025,0.0110742478235967
"5",0.0162336552920772,0.0243193716102639,0.0345722101066162,0.016511958208197
"6",0.01493836886316,0.0226291660788241,0.033077184830862,0.015453788013894
"7",0.0191323893264638,0.0204570812711129,0.0302364730947913,0.0183633766032781
"8",0.0177118179678009,0.0228054696320808,0.0385883179598879,0.0175198723192201
"9",0.0263344666965999,0.0353974155800516,0.0551431390698288,0.0269371837792686
"10",0.0317558143098508,0.0383309050183547,0.0532289232777161,0.0321776596053149
"11",0.0217027964258864,0.0263913211350858,0.0397796657629968,0.0214059591618521
"12",0.0334007383787683,0.0373808095161572,0.0573499650622335,0.0333751842301049
"13",0.0247367205173434,0.0329411991322516,0.0364907760090769,0.0250783195472859
"14",0.0365912375984439,0.0418351952578898,0.0571585809384817,0.0360133370628785
"15",0.0431888855003478,0.040894782024493,0.0442603571370743,0.0403841164466579
"16",0.0425325290203786,0.0480033824342097,0.0674269218966441,0.0433044009634967
"17",0.0446066994484031,0.0489742748644794,0.0559253430855276,0.0460094261888375
"18",0.056490699640312,0.0622686046138931,0.0771294803767221,0.0580687585663972
"19",0.0690715428709476,0.077058012593804,0.0846701886173574,0.0724015307157811
"20",0.0483325126389063,0.0562301003813611,0.0653906288881658,0.0527386833949387
"21",0.0604589441226685,0.0671882377333706,0.082425518228274,0.0645537547125476
"22",0.0639323599293436,0.070237185308944,0.0720869423529727,0.0687704347370308
"23",0.0916586091518987,0.102481769975458,0.109752088553664,0.0990408609403403
"24",0.0742274925476118,0.0797080832317134,0.090025984590746,0.0817831990001401
"25",0.0972207712573421,0.101530674955383,0.105087478453906,0.100753117390041
"26",0.0748282402519377,0.0719650312275347,0.0868886481187733,0.0737994940302534
"27",0.129267221445162,0.124666143761824,0.127197625644967,0.124716597537003
"28",0.0991103609251554,0.0994134387910958,0.117225945779644,0.101430266624622
"29",0.12632580110762,0.140305030246895,0.141070379011758,0.150530195199026
"30",0.144943015883298,0.145513413042981,0.150695179491142,0.151327468542468
"31",0.133233668842809,0.156531580129085,0.149620875455291,0.185287067795169
"32",0.192580118312275,0.207401886728382,0.20662589547782,0.232131432331163
"33",0.161154304305936,0.158119196462648,0.160765479246763,0.169083466335747
"34",0.208914157276902,0.209411942328826,0.206546952632448,0.233900824261228
"35",0.216818208791458,0.222936230428916,0.236130754400458,0.273348765227116
"36",0.278414713163313,0.284000823322747,0.292931200646051,0.325078414643656
"37",0.232731516066147,0.232427115164042,0.235043758808383,0.288235059230678
"38",0.299895826721527,0.292044005864766,0.300850714265985,0.334092538017081
"39",0.219457682981802,0.236019003444819,0.247459991093766,0.346499211378701
"40",0.287036788004871,0.298190306059925,0.30370519619109,0.408235895257469
"41",0.302852017660341,0.314673093471414,0.312626400972687,0.465431550261178
"42",0.361236672353031,0.365373573520835,0.363720025303789,0.475787840734573
"43",0.362155645511312,0.36709535213857,0.37226382156477,0.542190368428916
"44",0.398991854513212,0.398398092099773,0.396484144573677,0.566798933634105
"45",0.346383691153686,0.345406754581603,0.347579355595936,0.56462455343475
"46",0.409715478637852,0.431548351871775,0.403928433782213,0.789413870280017
"47",0.472850944032945,0.467872389902648,0.493373439500753,0.688739548111941
"48",0.422473753666917,0.424188773485821,0.420221470971709,0.742628933432378
"49",0.5454138652769,0.53797262766643,0.552042816675654,0.844319153621952
"50",0.595513670837867,0.603686412377527,0.592612395904432,1.13659852470875
