"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0486,-0.0014
"2","PM",0.1,0.0994,-6e-04
"3","PM",0.25,0.2328,-0.0172
"4","PM",0.75,0.7446,-0.0054
"5","PM",0.9,0.9284,0.0284
"6","PM",0.95,0.9616,0.0116
"7","CB",0.05,0.0576,0.0076
"8","CB",0.1,0.1138,0.0138
"9","CB",0.25,0.2494,-6e-04
"10","CB",0.75,0.7408,-0.0092
"11","CB",0.9,0.919,0.019
"12","CB",0.95,0.954,0.004
"13","GR",0.05,0.0684,0.0184
"14","GR",0.1,0.1194,0.0194
"15","GR",0.25,0.2528,0.0028
"16","GR",0.75,0.7264,-0.0236
"17","GR",0.9,0.9238,0.0238
"18","GR",0.95,0.9574,0.0074
"19","ML",0.05,0.078,0.028
"20","ML",0.1,0.133,0.033
"21","ML",0.25,0.268,0.018
"22","ML",0.75,0.7284,-0.0216
"23","ML",0.9,0.9092,0.0092
"24","ML",0.95,0.9488,-0.0012
