"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0422,-0.0078
"2","PM",0.1,0.0908,-0.0092
"3","PM",0.25,0.2322,-0.0178
"4","PM",0.75,0.7822,0.0322
"5","PM",0.9,0.928,0.028
"6","PM",0.95,0.968,0.018
"7","CB",0.05,0.054,0.004
"8","CB",0.1,0.108,0.008
"9","CB",0.25,0.2536,0.0036
"10","CB",0.75,0.7606,0.0106
"11","CB",0.9,0.9076,0.0076
"12","CB",0.95,0.9574,0.0074
"13","GR",0.05,0.055,0.005
"14","GR",0.1,0.1052,0.0052
"15","GR",0.25,0.2554,0.0054
"16","GR",0.75,0.7616,0.0116
"17","GR",0.9,0.9092,0.0092
"18","GR",0.95,0.956,0.006
"19","ML",0.05,0.071,0.021
"20","ML",0.1,0.124,0.024
"21","ML",0.25,0.2716,0.0216
"22","ML",0.75,0.739,-0.011
"23","ML",0.9,0.886,-0.014
"24","ML",0.95,0.938,-0.012
