"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0468,-0.0032
"2","PM",0.1,0.0872,-0.0128
"3","PM",0.25,0.2016,-0.0484
"4","PM",0.75,0.7372,-0.0128
"5","PM",0.9,0.9478,0.0478
"6","PM",0.95,0.972399999999999,0.0224
"7","CB",0.05,0.077,0.027
"8","CB",0.1,0.1228,0.0228
"9","CB",0.25,0.2532,0.0032
"10","CB",0.75,0.7234,-0.0266
"11","CB",0.9,0.9232,0.0232
"12","CB",0.95,0.9542,0.0042
"13","GR",0.05,0.0897999999999999,0.0398
"14","GR",0.1,0.1354,0.0354
"15","GR",0.25,0.2492,-8e-04
"16","GR",0.75,0.7012,-0.0488
"17","GR",0.9,0.935399999999999,0.0354
"18","GR",0.95,0.962199999999999,0.0122
"19","ML",0.05,0.1234,0.0734
"20","ML",0.1,0.1718,0.0718
"21","ML",0.25,0.307,0.057
"22","ML",0.75,0.6932,-0.0568
"23","ML",0.9,0.8964,-0.0036
"24","ML",0.95,0.9348,-0.0152
