"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,0
"[-4.56,-4.32)",0,0,0,0
"[-4.32,-4.08)",0,0,0,0
"[-4.08,-3.84)",0,0,0,0
"[-3.84,-3.6)",0,0,0,0
"[-3.6,-3.36)",0,0,0,4e-04
"[-3.36,-3.12)",0,0,0,8e-04
"[-3.12,-2.88)",0,0,0,8e-04
"[-2.88,-2.64)",0,4e-04,0,0.0012
"[-2.64,-2.4)",8e-04,0.0012,0.0012,0.0036
"[-2.4,-2.16)",0.0016,0.0016,0.0012,0.0028
"[-2.16,-1.92)",0.0016,0.002,0.0052,0.0096
"[-1.92,-1.68)",0.0052,0.0112,0.0132,0.0164
"[-1.68,-1.44)",0.0168,0.0244,0.0232,0.0304
"[-1.44,-1.2)",0.036,0.0384,0.0396,0.0384
"[-1.2,-0.96)",0.0504,0.0604,0.0576,0.0636
"[-0.96,-0.72)",0.092,0.0876,0.0916,0.0936
"[-0.72,-0.48)",0.1256,0.1264,0.1136,0.1072
"[-0.48,-0.24)",0.1456,0.1316,0.1236,0.1216
"[-0.24,0)",0.134,0.1244,0.1216,0.1108
"[0,0.24)",0.0976,0.0888,0.0932,0.0764
"[0.24,0.48)",0.0604,0.0588,0.0624,0.0564
"[0.48,0.72)",0.0384,0.0388,0.0444,0.036
"[0.72,0.96)",0.0304,0.0332,0.0344,0.028
"[0.96,1.2)",0.0248,0.0228,0.0296,0.0332
"[1.2,1.44)",0.0268,0.0236,0.0276,0.0224
"[1.44,1.68)",0.0304,0.0256,0.0308,0.0356
"[1.68,1.92)",0.03,0.0308,0.028,0.0332
"[1.92,2.16)",0.02,0.0264,0.022,0.0256
"[2.16,2.4)",0.012,0.0148,0.014,0.0188
"[2.4,2.64)",0.0116,0.014,0.0112,0.0156
"[2.64,2.88)",0.0056,0.0068,0.0068,0.0084
"[2.88,3.12)",0.002,0.004,0.0032,0.0044
"[3.12,3.36)",0,0.0016,4e-04,0.0032
"[3.36,3.6)",0,0,4e-04,8e-04
"[3.6,3.84)",4e-04,4e-04,0,4e-04
"[3.84,4.08)",0,0,0,0
"[4.08,4.32)",0,0,0,0
"[4.32,4.56)",0,0,0,0
"[4.56,4.8)",0,0,0,4e-04
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,0,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
