"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0438,-0.0062
"2","PM",0.1,0.0969999999999999,-0.003
"3","PM",0.25,0.2488,-0.0012
"4","PM",0.75,0.6982,-0.0518
"5","PM",0.9,0.9404,0.0404
"6","PM",0.95,0.9666,0.0166
"7","CB",0.05,0.0603999999999999,0.0104
"8","CB",0.1,0.1218,0.0218
"9","CB",0.25,0.273,0.023
"10","CB",0.75,0.6902,-0.0598
"11","CB",0.9,0.933,0.033
"12","CB",0.95,0.9596,0.0096
"13","GR",0.05,0.0685999999999999,0.0186
"14","GR",0.1,0.1248,0.0248
"15","GR",0.25,0.2678,0.0178
"16","GR",0.75,0.687,-0.063
"17","GR",0.9,0.9354,0.0354
"18","GR",0.95,0.9608,0.0108
"19","ML",0.05,0.0905999999999999,0.0406
"20","ML",0.1,0.1512,0.0512
"21","ML",0.25,0.2828,0.0328
"22","ML",0.75,0.6744,-0.0756
"23","ML",0.9,0.9258,0.0258
"24","ML",0.95,0.9504,4e-04
