"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0272,-0.0228
"2","PM",0.1,0.062,-0.038
"3","PM",0.25,0.2084,-0.0416
"4","PM",0.75,0.7772,0.0272
"5","PM",0.9,0.9396,0.0396
"6","PM",0.95,0.9784,0.0284
"7","CB",0.05,0.0488,-0.0012
"8","CB",0.1,0.0956,-0.0044
"9","CB",0.25,0.2488,-0.0012
"10","CB",0.75,0.7316,-0.0184
"11","CB",0.9,0.9108,0.0108
"12","CB",0.95,0.958,0.008
"13","GR",0.05,0.0456,-0.0044
"14","GR",0.1,0.0948,-0.0052
"15","GR",0.25,0.2444,-0.0056
"16","GR",0.75,0.7432,-0.0068
"17","GR",0.9,0.9048,0.0048
"18","GR",0.95,0.959199999999999,0.0092
"19","ML",0.05,0.0828,0.0328
"20","ML",0.1,0.1448,0.0448
"21","ML",0.25,0.2832,0.0332
"22","ML",0.75,0.7008,-0.0492
"23","ML",0.9,0.8552,-0.0448
"24","ML",0.95,0.9172,-0.0328
