"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0053,-0.0447
"2","PM",0.1,0.0105,-0.0895
"3","PM",0.25,0.0554,-0.1946
"4","PM",0.75,0.8618,0.1118
"5","PM",0.9,0.9986,0.0986
"6","PM",0.95,0.9997,0.0497
"7","CB",0.05,0.0822999999999999,0.0323
"8","CB",0.1,0.1176,0.0176
"9","CB",0.25,0.2108,-0.0392
"10","CB",0.75,0.7116,-0.0384
"11","CB",0.9,0.9633,0.0633
"12","CB",0.95,0.9792,0.0292
"13","GR",0.05,0.0668,0.0168
"14","GR",0.1,0.0914,-0.0086
"15","GR",0.25,0.1759,-0.0741
"16","GR",0.75,0.7416,-0.0084
"17","GR",0.9,0.9641,0.0641
"18","GR",0.95,0.977299999999999,0.0273
"19","ML",0.05,0.3597,0.3097
"20","ML",0.1,0.3857,0.2857
"21","ML",0.25,0.4274,0.1774
"22","ML",0.75,0.5565,-0.1935
"23","ML",0.9,0.7053,-0.1947
"24","ML",0.95,0.7369,-0.2131
