"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0.0016,0,0.0052
"[-5.76,-5.52)",0,4e-04,8e-04,0.0096
"[-5.52,-5.28)",0,0.0012,0.0012,0.0064
"[-5.28,-5.04)",0,0.0012,0.0012,0.012
"[-5.04,-4.8)",0,4e-04,0.002,0.0104
"[-4.8,-4.56)",0,0.002,0.0016,0.0104
"[-4.56,-4.32)",0,0.0028,0.0032,0.0112
"[-4.32,-4.08)",0,0.0052,0.0048,0.0148
"[-4.08,-3.84)",4e-04,0.0048,0.0056,0.0128
"[-3.84,-3.6)",8e-04,0.008,0.0052,0.0116
"[-3.6,-3.36)",0.0012,0.0108,0.0092,0.0176
"[-3.36,-3.12)",0.0016,0.0104,0.01,0.0164
"[-3.12,-2.88)",0.0016,0.0148,0.014,0.0192
"[-2.88,-2.64)",0.0036,0.0152,0.0144,0.0208
"[-2.64,-2.4)",0.0052,0.0136,0.0168,0.0188
"[-2.4,-2.16)",0.0068,0.022,0.0196,0.0268
"[-2.16,-1.92)",0.012,0.0292,0.0256,0.0208
"[-1.92,-1.68)",0.0156,0.0348,0.0324,0.0252
"[-1.68,-1.44)",0.0332,0.0384,0.0344,0.0244
"[-1.44,-1.2)",0.044,0.0392,0.0408,0.0284
"[-1.2,-0.96)",0.054,0.0512,0.0456,0.0264
"[-0.96,-0.72)",0.0676,0.0436,0.0456,0.0344
"[-0.72,-0.48)",0.0764,0.0492,0.0548,0.0224
"[-0.48,-0.24)",0.0976,0.0488,0.0556,0.0304
"[-0.24,0)",0.0892,0.0552,0.0548,0.03
"[0,0.24)",0.0916,0.0544,0.0572,0.0252
"[0.24,0.48)",0.0768,0.0548,0.0564,0.0228
"[0.48,0.72)",0.0772,0.038,0.054,0.0292
"[0.72,0.96)",0.06,0.0452,0.046,0.0304
"[0.96,1.2)",0.0536,0.04,0.0436,0.0272
"[1.2,1.44)",0.0444,0.0396,0.0392,0.0272
"[1.44,1.68)",0.03,0.0372,0.0344,0.0284
"[1.68,1.92)",0.0268,0.036,0.0312,0.0216
"[1.92,2.16)",0.0096,0.0316,0.0248,0.0232
"[2.16,2.4)",0.0056,0.0212,0.0204,0.0172
"[2.4,2.64)",0.004,0.024,0.0164,0.0212
"[2.64,2.88)",0.0036,0.0168,0.016,0.022
"[2.88,3.12)",0.002,0.012,0.0132,0.0236
"[3.12,3.36)",0.0012,0.0108,0.0096,0.0196
"[3.36,3.6)",0.0012,0.0064,0.008,0.0128
"[3.6,3.84)",0,0.0076,0.0088,0.0144
"[3.84,4.08)",4e-04,0.0036,0.0052,0.0156
"[4.08,4.32)",4e-04,0.0032,0.0028,0.0124
"[4.32,4.56)",4e-04,0.0036,0.004,0.01
"[4.56,4.8)",0,0.0024,0.0016,0.0132
"[4.8,5.04)",0,4e-04,0.002,0.0072
"[5.04,5.28)",0,0.0024,8e-04,0.01
"[5.28,5.52)",0,4e-04,0.0012,0.008
"[5.52,5.76)",4e-04,0.002,0,0.0068
"[5.76,6)",0,0,0.0012,0.0056
