"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0312,-0.0188
"2","PM",0.1,0.0684,-0.0316
"3","PM",0.25,0.2136,-0.0364
"4","PM",0.75,0.8112,0.0612
"5","PM",0.9,0.9376,0.0376
"6","PM",0.95,0.9728,0.0228
"7","CB",0.05,0.0672,0.0172
"8","CB",0.1,0.1188,0.0188
"9","CB",0.25,0.2764,0.0264
"10","CB",0.75,0.7484,-0.0016
"11","CB",0.9,0.8912,-0.0088
"12","CB",0.95,0.9396,-0.0104
"13","GR",0.05,0.0672,0.0172
"14","GR",0.1,0.1252,0.0252
"15","GR",0.25,0.276,0.026
"16","GR",0.75,0.7512,0.0012
"17","GR",0.9,0.8828,-0.0172
"18","GR",0.95,0.9376,-0.0124
"19","ML",0.05,0.1548,0.1048
"20","ML",0.1,0.216,0.116
"21","ML",0.25,0.3496,0.0996
"22","ML",0.75,0.6576,-0.0924
"23","ML",0.9,0.7908,-0.1092
"24","ML",0.95,0.8604,-0.0896
