"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,4e-04
"[-5.52,-5.28)",0,2e-04,0,2e-04
"[-5.28,-5.04)",0,2e-04,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",4e-04,0,4e-04,4e-04
"[-4.56,-4.32)",0,0,0,2e-04
"[-4.32,-4.08)",0,4e-04,0,6e-04
"[-4.08,-3.84)",0,0,0,2e-04
"[-3.84,-3.6)",4e-04,2e-04,4e-04,6e-04
"[-3.6,-3.36)",0,4e-04,2e-04,4e-04
"[-3.36,-3.12)",0,4e-04,2e-04,0.0034
"[-3.12,-2.88)",6e-04,0.0014,6e-04,0.003
"[-2.88,-2.64)",0.001,0.0022,0.0022,0.0052
"[-2.64,-2.4)",0.0018,0.0032,0.0026,0.0078
"[-2.4,-2.16)",0.0032,0.0048,0.0058,0.0114
"[-2.16,-1.92)",0.0044,0.0094,0.01,0.0158
"[-1.92,-1.68)",0.0076,0.0146,0.0148,0.0208
"[-1.68,-1.44)",0.014,0.0226,0.0232,0.0278
"[-1.44,-1.2)",0.0266,0.0294,0.0332,0.0384
"[-1.2,-0.96)",0.0362,0.0458,0.0482,0.0486
"[-0.96,-0.72)",0.0598,0.064,0.063,0.0604
"[-0.72,-0.48)",0.085,0.073,0.0808,0.0676
"[-0.48,-0.24)",0.1114,0.1046,0.0966,0.0886
"[-0.24,0)",0.1288,0.1094,0.1078,0.0874
"[0,0.24)",0.145,0.1188,0.107,0.0972
"[0.24,0.48)",0.1154,0.107,0.1002,0.0862
"[0.48,0.72)",0.0866,0.0768,0.085,0.0712
"[0.72,0.96)",0.0638,0.0644,0.0664,0.0596
"[0.96,1.2)",0.0436,0.0492,0.0514,0.0508
"[1.2,1.44)",0.0278,0.0356,0.0366,0.04
"[1.44,1.68)",0.015,0.0232,0.023,0.0294
"[1.68,1.92)",0.0086,0.0138,0.0152,0.0222
"[1.92,2.16)",0.004,0.0102,0.0104,0.0166
"[2.16,2.4)",0.0034,0.004,0.006,0.0126
"[2.4,2.64)",6e-04,0.003,0.003,0.0076
"[2.64,2.88)",8e-04,0.0024,0.001,0.0042
"[2.88,3.12)",2e-04,6e-04,8e-04,0.0032
"[3.12,3.36)",0.0012,6e-04,0.0012,0.0018
"[3.36,3.6)",0.0012,4e-04,0.001,0.0016
"[3.6,3.84)",2e-04,0.001,4e-04,0.0024
"[3.84,4.08)",4e-04,8e-04,4e-04,6e-04
"[4.08,4.32)",2e-04,6e-04,2e-04,0.0014
"[4.32,4.56)",2e-04,2e-04,2e-04,4e-04
"[4.56,4.8)",0,4e-04,0,8e-04
"[4.8,5.04)",0,2e-04,0,2e-04
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",2e-04,0,2e-04,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
