"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0.0053
"[-5.76,-5.52)",0,0,0,0.0052
"[-5.52,-5.28)",0,1e-04,3e-04,0.0074
"[-5.28,-5.04)",0,3e-04,2e-04,0.0082
"[-5.04,-4.8)",0,2e-04,1e-04,0.0077
"[-4.8,-4.56)",0,2e-04,3e-04,0.0085
"[-4.56,-4.32)",0,3e-04,3e-04,0.0101
"[-4.32,-4.08)",0,2e-04,3e-04,0.0103
"[-4.08,-3.84)",0,5e-04,0.0011,0.0095
"[-3.84,-3.6)",0,6e-04,0.0012,0.0139
"[-3.6,-3.36)",0,0.0013,7e-04,0.0148
"[-3.36,-3.12)",0,0.0015,0.0018,0.0153
"[-3.12,-2.88)",1e-04,0.0022,0.0022,0.0158
"[-2.88,-2.64)",0,0.0026,0.0032,0.0184
"[-2.64,-2.4)",4e-04,0.003,0.0034,0.021
"[-2.4,-2.16)",5e-04,0.0047,0.0058,0.0227
"[-2.16,-1.92)",3e-04,0.0089,0.0072,0.0211
"[-1.92,-1.68)",0.0015,0.0119,0.0093,0.0264
"[-1.68,-1.44)",0.0018,0.0159,0.0137,0.0253
"[-1.44,-1.2)",0.0027,0.0252,0.0198,0.0273
"[-1.2,-0.96)",0.0075,0.0358,0.0301,0.0316
"[-0.96,-0.72)",0.0269,0.0498,0.0502,0.0317
"[-0.72,-0.48)",0.0602,0.0854,0.0852,0.0315
"[-0.48,-0.24)",0.1736,0.1225,0.1256,0.0313
"[-0.24,0)",0.2455,0.146,0.1535,0.0277
"[0,0.24)",0.2492,0.1412,0.1513,0.0313
"[0.24,0.48)",0.1581,0.1093,0.1206,0.0274
"[0.48,0.72)",0.0409,0.0798,0.0765,0.0314
"[0.72,0.96)",0.0141,0.0482,0.0434,0.0288
"[0.96,1.2)",0.0073,0.0315,0.0261,0.0267
"[1.2,1.44)",0.0038,0.02,0.0176,0.0254
"[1.44,1.68)",0.0033,0.0131,0.013,0.0255
"[1.68,1.92)",8e-04,0.01,0.0089,0.0244
"[1.92,2.16)",8e-04,0.0062,0.0065,0.0218
"[2.16,2.4)",1e-04,0.0062,0.0052,0.022
"[2.4,2.64)",2e-04,0.004,0.0042,0.0191
"[2.64,2.88)",1e-04,0.0025,0.0021,0.0165
"[2.88,3.12)",1e-04,0.0019,0.0031,0.0163
"[3.12,3.36)",2e-04,0.0022,0.001,0.0144
"[3.36,3.6)",0,9e-04,0.0013,0.0142
"[3.6,3.84)",0,9e-04,0.0011,0.0143
"[3.84,4.08)",0,7e-04,4e-04,0.0116
"[4.08,4.32)",0,7e-04,7e-04,0.0107
"[4.32,4.56)",0,2e-04,5e-04,0.0089
"[4.56,4.8)",0,3e-04,2e-04,0.0077
"[4.8,5.04)",0,2e-04,3e-04,0.007
"[5.04,5.28)",0,1e-04,0,0.0071
"[5.28,5.52)",0,2e-04,4e-04,0.0079
"[5.52,5.76)",0,0,1e-04,0.006
"[5.76,6)",0,1e-04,0,0.0069
