"","var_true_theta"
"1",1.08797046513151
"2",0.883983992334546
"3",0.572213760066128
"4",0.76160575117203
"5",1.00345880383528
"6",0.951008448816391
"7",1.19774747527862
"8",0.983418827364142
"9",1.242082349369
"10",1.04895694365095
"11",0.7169182367679
"12",0.963828219146895
"13",1.04658298898526
"14",0.72084135411794
"15",1.15361752789881
"16",1.08972354602212
"17",1.13537995499129
"18",0.822519091763529
"19",0.934605928206013
"20",0.995664265337243
"21",0.839676733698979
"22",1.09983250117163
"23",1.01194818029187
"24",1.09548464549135
"25",1.04750024334602
"26",0.920650679695329
"27",0.980065986461976
"28",0.82130741273232
"29",0.875814582057704
"30",1.05359761876048
"31",1.09168413942283
"32",0.922875565691184
"33",1.04726794137715
"34",1.25233163758739
"35",1.11539673053414
"36",1.25510773727355
"37",0.985101504830277
"38",0.900351793467635
"39",0.953453842571696
"40",0.835852618966856
"41",1.29606086007962
"42",0.8079947135329
"43",1.0404228441322
"44",1.12629299728641
"45",1.15992389695318
"46",0.896366220108522
"47",1.09673782976739
"48",0.989790211095635
"49",1.07729294530933
"50",1.34000226750056
"51",1.47240439143906
"52",1.10186545563084
"53",1.07491240226428
"54",0.946550332878632
"55",0.809047896204192
"56",0.995812861675994
"57",0.862935205512692
"58",0.914890738423328
"59",0.970168860503532
"60",1.09478620506967
"61",1.23078694453607
"62",0.846031084325244
"63",0.813383424316658
"64",1.25674073663371
"65",1.14812729046133
"66",0.96005402025783
"67",0.995715053340303
"68",0.947468407182263
"69",1.08479570352272
"70",1.01241563780529
"71",0.916787412782491
"72",1.12460173845727
"73",1.07572215859373
"74",1.20016111432847
"75",1.05723377918311
"76",1.09015633321743
"77",0.937032554521195
"78",0.920632207394165
"79",1.10298765551546
"80",0.755942645728445
"81",0.908366092458374
"82",0.88986184067654
"83",1.15888411458608
"84",0.839584777393949
"85",1.07075574809409
"86",1.05721453211873
"87",0.957347321817626
"88",0.846739589914573
"89",0.953002672229664
"90",0.921206881855772
"91",1.04592603677751
"92",0.943502857379876
"93",1.04469883936592
"94",1.057450659489
"95",0.908436662462394
"96",1.04426832386825
"97",0.875273230819974
"98",1.13840333650356
"99",0.993633059443831
"100",1.01510625969707
