"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0196,-0.0304
"2","PM",0.1,0.0404,-0.0596
"3","PM",0.25,0.0988,-0.1512
"4","PM",0.75,0.772,0.022
"5","PM",0.9,0.9948,0.0948
"6","PM",0.95,0.9966,0.0466
"7","CB",0.05,0.0887999999999999,0.0388
"8","CB",0.1,0.1212,0.0212
"9","CB",0.25,0.2062,-0.0438
"10","CB",0.75,0.694,-0.056
"11","CB",0.9,0.9534,0.0534
"12","CB",0.95,0.9694,0.0194
"13","GR",0.05,0.0911999999999999,0.0412
"14","GR",0.1,0.1212,0.0212
"15","GR",0.25,0.2032,-0.0468
"16","GR",0.75,0.69,-0.06
"17","GR",0.9,0.9528,0.0528
"18","GR",0.95,0.969,0.019
"19","ML",0.05,0.3438,0.2938
"20","ML",0.1,0.3672,0.2672
"21","ML",0.25,0.4092,0.1592
"22","ML",0.75,0.5584,-0.1916
"23","ML",0.9,0.7086,-0.1914
"24","ML",0.95,0.7398,-0.2102
