"","var_true_theta"
"1",0.740119624555375
"2",1.04520671590138
"3",0.865889858055932
"4",1.54279865128269
"5",0.73389228175443
"6",0.915471459366782
"7",1.293097448206
"8",0.823402050176994
"9",1.06975609162947
"10",0.944648603433998
"11",0.914327460211397
"12",1.78406499466697
"13",0.884832079489504
"14",1.42347528105884
"15",0.81890975085911
"16",0.897934522561794
"17",0.933893542813687
"18",0.798981275954445
"19",0.856678711772709
"20",1.85335020178523
"21",0.666540810691706
"22",0.843875588725226
"23",0.733807953153041
"24",0.837044758110323
"25",0.972670266301148
"26",0.794500663941251
"27",0.755820009773875
"28",0.806691774241432
"29",1.0044563380777
"30",0.928867761423982
"31",1.10509921142615
"32",0.9288747234522
"33",0.618862127962015
"34",1.01538075699097
"35",0.77506435899568
"36",0.654245517089489
"37",0.582929657897454
"38",0.921726843479075
"39",1.06076939369969
"40",0.868208446017791
"41",1.16670664249453
"42",1.11330911473365
"43",1.25663963032914
"44",0.726873253858332
"45",1.26977673763924
"46",0.849568989041228
"47",1.69355440699033
"48",0.896120921152253
"49",1.04858463514781
"50",0.764863049948677
"51",1.07880537557398
"52",0.944765402019582
"53",0.726190084448908
"54",1.00786194609985
"55",1.28079131764311
"56",1.03505259617325
"57",1.26749540448955
"58",0.747972550834242
"59",1.26550619807366
"60",1.43112023501167
"61",0.751940012238014
"62",0.902339766730412
"63",1.18546801245715
"64",1.25742044803682
"65",0.766965767244117
"66",0.719912031014082
"67",0.75718627261019
"68",0.807004492376097
"69",0.679424355741928
"70",0.874819256991678
"71",0.889013475720314
"72",0.78576059865213
"73",0.643019661138732
"74",0.985857650373342
"75",0.632490862481623
"76",1.17415795237617
"77",0.963141556423736
"78",0.8642486882388
"79",0.99101953455317
"80",0.870009267812202
"81",1.01241423076009
"82",0.876966040213769
"83",0.961237334329293
"84",0.995476354000913
"85",0.840583937173615
"86",1.10600877015649
"87",1.09100416564871
"88",0.625245430362153
"89",1.16315289729245
"90",1.71605663238476
"91",1.19310482139567
"92",1.04650704728672
"93",1.0545413405002
"94",0.910365245432488
"95",1.42995321834363
"96",1.15256117988314
"97",0.841809632117673
"98",1.06088158099721
"99",0.965162264065616
"100",0.931947951187916
