"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0377,-0.0123
"2","PM",0.1,0.0938,-0.0062
"3","PM",0.25,0.2481,-0.0019
"4","PM",0.75,0.7082,-0.0418
"5","PM",0.9,0.8935,-0.0065
"6","PM",0.95,0.9632,0.0132
"7","CB",0.05,0.1756,0.1256
"8","CB",0.1,0.2416,0.1416
"9","CB",0.25,0.3639,0.1139
"10","CB",0.75,0.6166,-0.1334
"11","CB",0.9,0.7342,-0.1658
"12","CB",0.95,0.8036,-0.1464
"13","GR",0.05,0.1701,0.1201
"14","GR",0.1,0.2382,0.1382
"15","GR",0.25,0.3554,0.1054
"16","GR",0.75,0.6212,-0.1288
"17","GR",0.9,0.7434,-0.1566
"18","GR",0.95,0.8158,-0.1342
"19","ML",0.05,0.3141,0.2641
"20","ML",0.1,0.3613,0.2613
"21","ML",0.25,0.4287,0.1787
"22","ML",0.75,0.57,-0.18
"23","ML",0.9,0.6316,-0.2684
"24","ML",0.95,0.6769,-0.2731
