"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0472,-0.0028
"2","PM",0.1,0.0864,-0.0136
"3","PM",0.25,0.2188,-0.0312
"4","PM",0.75,0.691600000000001,-0.0584
"5","PM",0.9,0.9572,0.0572
"6","PM",0.95,0.9764,0.0264
"7","CB",0.05,0.0724,0.0224
"8","CB",0.1,0.1324,0.0324
"9","CB",0.25,0.2608,0.0108
"10","CB",0.75,0.6752,-0.0748
"11","CB",0.9,0.9388,0.0388
"12","CB",0.95,0.9656,0.0156
"13","GR",0.05,0.0856,0.0356
"14","GR",0.1,0.1324,0.0324
"15","GR",0.25,0.2504,4e-04
"16","GR",0.75,0.6684,-0.0816
"17","GR",0.9,0.944,0.044
"18","GR",0.95,0.9692,0.0192
"19","ML",0.05,0.1272,0.0772
"20","ML",0.1,0.1864,0.0864
"21","ML",0.25,0.2944,0.0444
"22","ML",0.75,0.6476,-0.1024
"23","ML",0.9,0.916,0.016
"24","ML",0.95,0.9492,-8e-04
