"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0552,0.0052
"2","PM",0.1,0.106,0.006
"3","PM",0.25,0.2116,-0.0384
"4","PM",0.75,0.648,-0.102
"5","PM",0.9,0.9668,0.0668
"6","PM",0.95,0.9796,0.0296
"7","CB",0.05,0.1868,0.1368
"8","CB",0.1,0.2272,0.1272
"9","CB",0.25,0.3128,0.0628
"10","CB",0.75,0.6036,-0.1464
"11","CB",0.9,0.878,-0.022
"12","CB",0.95,0.9164,-0.0336
"13","GR",0.05,0.1768,0.1268
"14","GR",0.1,0.2172,0.1172
"15","GR",0.25,0.3028,0.0528
"16","GR",0.75,0.6116,-0.1384
"17","GR",0.9,0.8748,-0.0252
"18","GR",0.95,0.9128,-0.0372
"19","ML",0.05,0.3444,0.2944
"20","ML",0.1,0.3632,0.2632
"21","ML",0.25,0.4072,0.1572
"22","ML",0.75,0.5432,-0.2068
"23","ML",0.9,0.7004,-0.1996
"24","ML",0.95,0.7284,-0.2216
