"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,0
"[-4.56,-4.32)",0,0,0,0
"[-4.32,-4.08)",0,0,0,0
"[-4.08,-3.84)",0,4e-04,0,4e-04
"[-3.84,-3.6)",4e-04,0,4e-04,0
"[-3.6,-3.36)",0,0,0,0
"[-3.36,-3.12)",0,4e-04,0,8e-04
"[-3.12,-2.88)",8e-04,0.002,8e-04,0.002
"[-2.88,-2.64)",0.002,0.0036,0.0032,0.004
"[-2.64,-2.4)",0.0044,0.0052,0.0056,0.008
"[-2.4,-2.16)",0.0064,0.0084,0.006,0.012
"[-2.16,-1.92)",0.0092,0.0108,0.0136,0.0128
"[-1.92,-1.68)",0.0172,0.0216,0.0216,0.0296
"[-1.68,-1.44)",0.0252,0.0252,0.0276,0.0312
"[-1.44,-1.2)",0.0316,0.0364,0.038,0.0448
"[-1.2,-0.96)",0.0504,0.0532,0.0476,0.05
"[-0.96,-0.72)",0.0628,0.0588,0.0648,0.0584
"[-0.72,-0.48)",0.0824,0.0808,0.0796,0.0732
"[-0.48,-0.24)",0.1,0.0912,0.0896,0.0852
"[-0.24,0)",0.112,0.1032,0.102,0.0912
"[0,0.24)",0.1044,0.0988,0.0996,0.0848
"[0.24,0.48)",0.1028,0.0896,0.096,0.0872
"[0.48,0.72)",0.0868,0.09,0.0856,0.074
"[0.72,0.96)",0.0668,0.0696,0.064,0.0712
"[0.96,1.2)",0.0444,0.0468,0.05,0.0524
"[1.2,1.44)",0.0348,0.03,0.034,0.0328
"[1.44,1.68)",0.0212,0.0288,0.024,0.0304
"[1.68,1.92)",0.0124,0.0152,0.0184,0.0228
"[1.92,2.16)",0.008,0.0112,0.0132,0.0156
"[2.16,2.4)",0.0072,0.006,0.0064,0.0096
"[2.4,2.64)",0.0036,0.008,0.0044,0.0056
"[2.64,2.88)",0.0012,0.002,0.0024,0.0056
"[2.88,3.12)",8e-04,0.0012,8e-04,0.0016
"[3.12,3.36)",8e-04,8e-04,8e-04,0.0016
"[3.36,3.6)",0,8e-04,0,8e-04
"[3.6,3.84)",0,0,0,4e-04
"[3.84,4.08)",0,0,0,0
"[4.08,4.32)",0,0,0,0
"[4.32,4.56)",0,0,0,0
"[4.56,4.8)",0,0,0,0
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,0,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
