"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.044,-0.006
"2","PM",0.1,0.0804,-0.0196
"3","PM",0.25,0.2048,-0.0452
"4","PM",0.75,0.7288,-0.0212
"5","PM",0.9,0.9624,0.0624
"6","PM",0.95,0.98,0.03
"7","CB",0.05,0.084,0.034
"8","CB",0.1,0.1404,0.0404
"9","CB",0.25,0.2612,0.0112
"10","CB",0.75,0.696,-0.054
"11","CB",0.9,0.9432,0.0432
"12","CB",0.95,0.9652,0.0152
"13","GR",0.05,0.0904,0.0404
"14","GR",0.1,0.14,0.04
"15","GR",0.25,0.2568,0.0068
"16","GR",0.75,0.6836,-0.0664
"17","GR",0.9,0.9488,0.0488
"18","GR",0.95,0.9716,0.0216
"19","ML",0.05,0.1468,0.0968
"20","ML",0.1,0.2016,0.1016
"21","ML",0.25,0.3196,0.0696
"22","ML",0.75,0.65,-0.1
"23","ML",0.9,0.906,0.006
"24","ML",0.95,0.936,-0.014
