"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0264,-0.0236
"2","PM",0.1,0.057,-0.043
"3","PM",0.25,0.1842,-0.0658
"4","PM",0.75,0.802000000000001,0.052
"5","PM",0.9,0.9324,0.0324
"6","PM",0.95,0.9652,0.0152
"7","CB",0.05,0.0444,-0.0056
"8","CB",0.1,0.0859999999999999,-0.014
"9","CB",0.25,0.2274,-0.0226
"10","CB",0.75,0.762,0.012
"11","CB",0.9,0.9048,0.0048
"12","CB",0.95,0.9478,-0.0022
"13","GR",0.05,0.0448,-0.0052
"14","GR",0.1,0.0934,-0.0066
"15","GR",0.25,0.2372,-0.0128
"16","GR",0.75,0.7448,-0.0052
"17","GR",0.9,0.895,-0.005
"18","GR",0.95,0.945399999999999,-0.0046
"19","ML",0.05,0.0891999999999999,0.0392
"20","ML",0.1,0.1516,0.0516
"21","ML",0.25,0.297,0.047
"22","ML",0.75,0.6918,-0.0582
"23","ML",0.9,0.8386,-0.0614
"24","ML",0.95,0.8982,-0.0518
