"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0.0038
"[-5.76,-5.52)",0,0,0,0.006
"[-5.52,-5.28)",0,2e-04,0,0.0058
"[-5.28,-5.04)",0,4e-04,0,0.0056
"[-5.04,-4.8)",0,2e-04,0,0.0066
"[-4.8,-4.56)",0,0.001,4e-04,0.0084
"[-4.56,-4.32)",0,0.0014,8e-04,0.0094
"[-4.32,-4.08)",0,0.0014,0.0024,0.0096
"[-4.08,-3.84)",0,0.0014,0.002,0.0114
"[-3.84,-3.6)",0,0.0026,0.0018,0.0126
"[-3.6,-3.36)",0,0.0044,0.004,0.0106
"[-3.36,-3.12)",0,0.0048,0.0078,0.012
"[-3.12,-2.88)",0,0.005,0.007,0.0144
"[-2.88,-2.64)",2e-04,0.0116,0.0094,0.0176
"[-2.64,-2.4)",0.001,0.013,0.013,0.0174
"[-2.4,-2.16)",8e-04,0.0164,0.018,0.0214
"[-2.16,-1.92)",0.0038,0.0222,0.0224,0.0234
"[-1.92,-1.68)",0.0064,0.0312,0.0296,0.027
"[-1.68,-1.44)",0.0164,0.0312,0.0352,0.0264
"[-1.44,-1.2)",0.037,0.043,0.044,0.0276
"[-1.2,-0.96)",0.0504,0.0532,0.051,0.0298
"[-0.96,-0.72)",0.073,0.0592,0.06,0.0332
"[-0.72,-0.48)",0.096,0.0636,0.0636,0.0324
"[-0.48,-0.24)",0.1168,0.0748,0.0704,0.0288
"[-0.24,0)",0.1168,0.0754,0.0712,0.0322
"[0,0.24)",0.1178,0.0752,0.0714,0.0276
"[0.24,0.48)",0.108,0.0674,0.066,0.0304
"[0.48,0.72)",0.0898,0.0634,0.062,0.0366
"[0.72,0.96)",0.0692,0.057,0.0544,0.0248
"[0.96,1.2)",0.0472,0.0446,0.0476,0.028
"[1.2,1.44)",0.0228,0.0394,0.038,0.0224
"[1.44,1.68)",0.0116,0.03,0.0344,0.0238
"[1.68,1.92)",0.0062,0.024,0.0264,0.0258
"[1.92,2.16)",0.0032,0.0164,0.0208,0.0226
"[2.16,2.4)",0.0026,0.014,0.0162,0.0204
"[2.4,2.64)",0.0018,0.014,0.0148,0.0206
"[2.64,2.88)",6e-04,0.0074,0.0076,0.0194
"[2.88,3.12)",2e-04,0.0066,0.0074,0.015
"[3.12,3.36)",4e-04,0.0048,0.0062,0.013
"[3.36,3.6)",0,0.0036,0.0046,0.0116
"[3.6,3.84)",0,0.0036,0.0026,0.0122
"[3.84,4.08)",0,0.003,0.0022,0.0102
"[4.08,4.32)",0,0.0022,0.0016,0.0102
"[4.32,4.56)",0,0.0014,0.0016,0.007
"[4.56,4.8)",0,4e-04,0,0.0078
"[4.8,5.04)",0,0.001,0,0.008
"[5.04,5.28)",0,0.0014,0,0.0074
"[5.28,5.52)",0,6e-04,2e-04,0.0064
"[5.52,5.76)",0,4e-04,0,0.004
"[5.76,6)",0,2e-04,0,0.0048
