"","var_true_theta"
"1",0.561504585584645
"2",1.34811485920009
"3",1.12205462567169
"4",0.507557716065554
"5",1.24215014131644
"6",0.728310631455967
"7",1.18593434423658
"8",0.751145156516105
"9",0.949724216799055
"10",1.0068009174712
"11",0.848082974486161
"12",1.12684475964815
"13",1.56649536939796
"14",1.14358264476852
"15",1.40601787052991
"16",0.873602314030911
"17",1.35329497680048
"18",1.14321910753363
"19",1.01471643579102
"20",1.00498778477784
"21",0.965862145048068
"22",0.627822792047367
"23",0.53340214339068
"24",0.885484694195043
"25",1.06703929387817
"26",0.686396626068543
"27",0.975820421230649
"28",1.20888410771702
"29",0.982433893669875
"30",0.775376685940577
"31",0.398269860487121
"32",0.559387556262909
"33",0.606862678387881
"34",1.09344634748973
"35",1.57673742336458
"36",0.920208021158149
"37",1.09962949478403
"38",0.741743593902021
"39",0.7071584970668
"40",0.973349676004295
"41",1.01822851831282
"42",0.734090206231572
"43",1.34585440062891
"44",1.53428418863581
"45",0.89359888093851
"46",0.720307543443673
"47",1.09515318744258
"48",1.10983781151491
"49",0.567936265992202
"50",0.966968780591618
"51",0.70957020255999
"52",1.21772189126654
"53",0.956932062356069
"54",1.14633591977957
"55",1.18529571529151
"56",1.32598562579716
"57",1.23365896833726
"58",1.1305946480309
"59",0.825672231021333
"60",0.609499361729514
"61",0.709901358831814
"62",1.77295636478315
"63",1.05827579369926
"64",0.736669324213499
"65",0.789017010448751
"66",0.93926712680783
"67",0.577943098903478
"68",0.978968969803205
"69",1.23137071091071
"70",1.21795483383776
"71",1.13133342188947
"72",0.827236689424315
"73",0.839627970438975
"74",0.886048088554134
"75",1.34281065751287
"76",1.06089606396993
"77",1.07010892594404
"78",1.05124737319569
"79",0.822684735911192
"80",1.27092114146934
"81",0.95946031306492
"82",0.43161758595593
"83",1.19419959819068
"84",0.811599871646755
"85",0.746947027512341
"86",1.02432520300017
"87",0.852187957064076
"88",0.975932774166181
"89",1.22884423190025
"90",0.79079022985855
"91",1.03678880860977
"92",0.994605263962563
"93",1.07009109818841
"94",0.961227227704064
"95",0.562718813294465
"96",0.915975173317524
"97",1.04098700280221
"98",0.785955224328794
"99",0.594624336645103
"100",0.976698864205787
