"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,1e-04,1e-04,0.0067
"[-5.76,-5.52)",0,4e-04,1e-04,0.0067
"[-5.52,-5.28)",0,0,4e-04,0.0075
"[-5.28,-5.04)",0,2e-04,3e-04,0.0095
"[-5.04,-4.8)",0,2e-04,5e-04,0.0121
"[-4.8,-4.56)",0,2e-04,3e-04,0.0111
"[-4.56,-4.32)",0,4e-04,5e-04,0.0135
"[-4.32,-4.08)",0,9e-04,0.001,0.0121
"[-4.08,-3.84)",0,4e-04,6e-04,0.0117
"[-3.84,-3.6)",0,5e-04,0.0012,0.0165
"[-3.6,-3.36)",0,0.0016,0.0021,0.0179
"[-3.36,-3.12)",0,0.0023,0.002,0.0203
"[-3.12,-2.88)",2e-04,0.0023,0.0029,0.0216
"[-2.88,-2.64)",2e-04,0.0023,0.0031,0.0195
"[-2.64,-2.4)",3e-04,0.006,0.0045,0.0193
"[-2.4,-2.16)",3e-04,0.0054,0.0056,0.0234
"[-2.16,-1.92)",0.0013,0.0095,0.0076,0.023
"[-1.92,-1.68)",0.0012,0.0162,0.0102,0.0225
"[-1.68,-1.44)",0.0035,0.0188,0.0141,0.0272
"[-1.44,-1.2)",0.005,0.0279,0.0202,0.0263
"[-1.2,-0.96)",0.0103,0.0406,0.0314,0.0263
"[-0.96,-0.72)",0.0227,0.0628,0.0517,0.0268
"[-0.72,-0.48)",0.0809,0.0831,0.0836,0.029
"[-0.48,-0.24)",0.1482,0.105,0.1203,0.0307
"[-0.24,0)",0.2503,0.1162,0.1442,0.0269
"[0,0.24)",0.2096,0.1206,0.1408,0.0281
"[0.24,0.48)",0.1577,0.1027,0.1165,0.0286
"[0.48,0.72)",0.074,0.0823,0.0809,0.0272
"[0.72,0.96)",0.0184,0.0615,0.0513,0.0253
"[0.96,1.2)",0.0062,0.0411,0.0302,0.0273
"[1.2,1.44)",0.0034,0.0287,0.0191,0.0287
"[1.44,1.68)",0.0022,0.0204,0.0123,0.027
"[1.68,1.92)",0.0015,0.0134,0.0096,0.0243
"[1.92,2.16)",9e-04,0.0068,0.0071,0.0212
"[2.16,2.4)",4e-04,0.0043,0.0053,0.0245
"[2.4,2.64)",7e-04,0.0033,0.0043,0.0203
"[2.64,2.88)",3e-04,0.0029,0.0029,0.0174
"[2.88,3.12)",0,0.0024,0.0022,0.0218
"[3.12,3.36)",0,0.0012,0.0021,0.018
"[3.36,3.6)",0,0.0016,0.0014,0.0164
"[3.6,3.84)",0,9e-04,0.0013,0.0158
"[3.84,4.08)",0,6e-04,0.0012,0.0158
"[4.08,4.32)",0,4e-04,5e-04,0.0137
"[4.32,4.56)",1e-04,3e-04,7e-04,0.0121
"[4.56,4.8)",1e-04,4e-04,2e-04,0.0114
"[4.8,5.04)",0,3e-04,4e-04,0.0098
"[5.04,5.28)",0,0,3e-04,0.0088
"[5.28,5.52)",0,1e-04,1e-04,0.0078
"[5.52,5.76)",0,2e-04,1e-04,0.0054
"[5.76,6)",1e-04,0,2e-04,0.0063
