"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,2e-04,0,0
"[-5.52,-5.28)",2e-04,2e-04,2e-04,4e-04
"[-5.28,-5.04)",2e-04,2e-04,2e-04,0
"[-5.04,-4.8)",2e-04,0,2e-04,4e-04
"[-4.8,-4.56)",0,2e-04,0,2e-04
"[-4.56,-4.32)",2e-04,6e-04,4e-04,6e-04
"[-4.32,-4.08)",6e-04,4e-04,4e-04,4e-04
"[-4.08,-3.84)",8e-04,4e-04,8e-04,6e-04
"[-3.84,-3.6)",0,0.0012,0,8e-04
"[-3.6,-3.36)",0.0012,8e-04,0.001,0.0012
"[-3.36,-3.12)",8e-04,0.0018,0.0012,0.0016
"[-3.12,-2.88)",0.0024,0.0018,0.0024,0.0038
"[-2.88,-2.64)",0.0016,0.0026,0.0026,0.0046
"[-2.64,-2.4)",0.0038,0.0044,0.004,0.0052
"[-2.4,-2.16)",0.0052,0.0064,0.0052,0.0064
"[-2.16,-1.92)",0.0062,0.0074,0.0096,0.011
"[-1.92,-1.68)",0.0104,0.0116,0.012,0.018
"[-1.68,-1.44)",0.0144,0.0186,0.0208,0.0244
"[-1.44,-1.2)",0.0252,0.0286,0.0302,0.0314
"[-1.2,-0.96)",0.0404,0.0438,0.0426,0.047
"[-0.96,-0.72)",0.0602,0.0622,0.0622,0.0588
"[-0.72,-0.48)",0.0786,0.077,0.0856,0.074
"[-0.48,-0.24)",0.1066,0.1034,0.0946,0.0998
"[-0.24,0)",0.1218,0.1092,0.1088,0.0982
"[0,0.24)",0.1288,0.1166,0.118,0.099
"[0.24,0.48)",0.1194,0.1126,0.1046,0.099
"[0.48,0.72)",0.0858,0.0838,0.0824,0.075
"[0.72,0.96)",0.0622,0.0636,0.0648,0.0712
"[0.96,1.2)",0.0454,0.0472,0.0486,0.0444
"[1.2,1.44)",0.0286,0.0334,0.0326,0.04
"[1.44,1.68)",0.017,0.0202,0.0238,0.0256
"[1.68,1.92)",0.0104,0.0126,0.0128,0.016
"[1.92,2.16)",0.0062,0.0084,0.0092,0.0142
"[2.16,2.4)",0.0038,0.0048,0.0056,0.009
"[2.4,2.64)",0.0044,0.0028,0.0036,0.0062
"[2.64,2.88)",0.0012,0.0036,0.0024,0.0022
"[2.88,3.12)",0.0016,0.002,0.0028,0.0026
"[3.12,3.36)",6e-04,0.0016,0,0.0018
"[3.36,3.6)",8e-04,4e-04,0.001,8e-04
"[3.6,3.84)",8e-04,8e-04,8e-04,0.0014
"[3.84,4.08)",2e-04,6e-04,2e-04,2e-04
"[4.08,4.32)",0,2e-04,0,6e-04
"[4.32,4.56)",6e-04,2e-04,6e-04,2e-04
"[4.56,4.8)",4e-04,2e-04,4e-04,4e-04
"[4.8,5.04)",2e-04,6e-04,2e-04,2e-04
"[5.04,5.28)",0,0,0,4e-04
"[5.28,5.52)",0,2e-04,0,0
"[5.52,5.76)",0,0,0,2e-04
"[5.76,6)",0,0,0,0
