"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0272,-0.0228
"2","PM",0.1,0.0632,-0.0368
"3","PM",0.25,0.1984,-0.0516
"4","PM",0.75,0.802,0.052
"5","PM",0.9,0.9344,0.0344
"6","PM",0.95,0.966,0.016
"7","CB",0.05,0.0512,0.0012
"8","CB",0.1,0.0976,-0.0024
"9","CB",0.25,0.2372,-0.0128
"10","CB",0.75,0.766,0.016
"11","CB",0.9,0.8984,-0.0016
"12","CB",0.95,0.942,-0.008
"13","GR",0.05,0.0512,0.0012
"14","GR",0.1,0.0984,-0.0016
"15","GR",0.25,0.2376,-0.0124
"16","GR",0.75,0.7604,0.0104
"17","GR",0.9,0.900800000000001,8e-04
"18","GR",0.95,0.945999999999999,-0.004
"19","ML",0.05,0.0988,0.0488
"20","ML",0.1,0.1636,0.0636
"21","ML",0.25,0.2968,0.0468
"22","ML",0.75,0.7068,-0.0432
"23","ML",0.9,0.851200000000001,-0.0488
"24","ML",0.95,0.902,-0.048
