"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0298,-0.0202
"2","PM",0.1,0.0588,-0.0412
"3","PM",0.25,0.1802,-0.0698
"4","PM",0.75,0.7294,-0.0206
"5","PM",0.9,0.938,0.038
"6","PM",0.95,0.9776,0.0276
"7","CB",0.05,0.0566,0.0066
"8","CB",0.1,0.102,0.002
"9","CB",0.25,0.2332,-0.0168
"10","CB",0.75,0.7138,-0.0362
"11","CB",0.9,0.9052,0.0052
"12","CB",0.95,0.9468,-0.0032
"13","GR",0.05,0.0693999999999999,0.0194
"14","GR",0.1,0.1148,0.0148
"15","GR",0.25,0.238,-0.012
"16","GR",0.75,0.6988,-0.0512
"17","GR",0.9,0.9158,0.0158
"18","GR",0.95,0.9586,0.0086
"19","ML",0.05,0.1278,0.0778
"20","ML",0.1,0.1746,0.0746
"21","ML",0.25,0.2794,0.0294
"22","ML",0.75,0.6694,-0.0806
"23","ML",0.9,0.8892,-0.0108
"24","ML",0.95,0.93,-0.02
