"","WSEL_PM","WSEL_CB","WSEL_GR","WSEL_ML"
"1",0.0105181685638768,0.0159566226650501,0.0306578325421182,0.0104628035482054
"2",0.0110619037046828,0.0155408527018494,0.0266486474591933,0.0107546835007148
"3",0.0143401558143115,0.01962678712964,0.0338078600435805,0.0142988721290896
"4",0.0143991435789909,0.0209688012621678,0.0341663868123749,0.0144174599272026
"5",0.0147281086036888,0.024637084776064,0.0448713638370966,0.0154981631334772
"6",0.0130525059347297,0.0213174097461829,0.0310759009867939,0.0135637434465719
"7",0.0154720277407625,0.0246940662998814,0.0327545069578228,0.0163538518834936
"8",0.017035214335759,0.0259512836836324,0.0431634749296935,0.0176409617152168
"9",0.0198142211289691,0.026705667143888,0.0352484782770725,0.0203118143054565
"10",0.0236232322201743,0.0312230318781449,0.0471168112985533,0.0247324315084558
"11",0.0283867037936296,0.0348371062577235,0.0555538409523107,0.0290361352232699
"12",0.0304661536904394,0.0387835508860299,0.0509959694020055,0.0316346117671272
"13",0.0372394272633304,0.0457904489702112,0.0689225096929845,0.0379696326698718
"14",0.0431883089849861,0.0530040779889369,0.0784413174314927,0.0458311475536441
"15",0.0359594448056995,0.0411460552167791,0.0591504076974143,0.036626892070798
"16",0.041620254608053,0.0506976137704018,0.0614267609457898,0.0440733919258831
"17",0.0451786041429873,0.0526305229695746,0.06925896478862,0.0465997885579016
"18",0.0433381435014421,0.0428620807956928,0.0498955323577476,0.0414025328262484
"19",0.0458348480008991,0.0549054903039805,0.0740436964706392,0.0505719708728678
"20",0.0608674206434163,0.0672860355560135,0.0618222811739209,0.0642328519027461
"21",0.061842200135759,0.0718524344165965,0.086254381198559,0.0674877276770309
"22",0.0815005428767436,0.0834096661734795,0.102242364613871,0.08121205562696
"23",0.106594860129637,0.120634563866514,0.139938221696171,0.119933334965054
"24",0.0516943639527847,0.0611162783349752,0.0695133598415574,0.062258249874124
"25",0.0834748915423905,0.0850277099230105,0.0875183113381417,0.0859627818973148
"26",0.106989746962689,0.119352000086011,0.142810768582369,0.125109133347047
"27",0.117825574495951,0.124639858989192,0.130172317710151,0.129556163942492
"28",0.131529826991492,0.143647142063759,0.180423155037962,0.154390259691438
"29",0.0900946894145175,0.0932289251949106,0.100653864962109,0.101624697752215
"30",0.115961033613142,0.122802969802552,0.136051861747366,0.137800945886093
"31",0.140472703968025,0.147287216131847,0.170637570112523,0.16194395922888
"32",0.139153547643794,0.136348061995265,0.145796781434811,0.150829860940353
"33",0.170132434172391,0.167726043441522,0.174532818876945,0.187695005681048
"34",0.190088639350823,0.197074032646627,0.221825277309281,0.24196153444197
"35",0.196106109136563,0.205555448596036,0.225086607894377,0.247048465589784
"36",0.195070719670478,0.205042539906244,0.215129004854761,0.276741709012822
"37",0.239351534073695,0.240311626834512,0.253038864111056,0.315006071928252
"38",0.239270711852892,0.244670507766385,0.271815809419823,0.319336406748717
"39",0.244428015586227,0.244924245962855,0.262572029416476,0.306860745114388
"40",0.222829314870715,0.233019196480932,0.2428631409858,0.354265806201069
"41",0.358669185509311,0.37349462395077,0.370540602649254,0.506043677324631
"42",0.323271779751452,0.349603849811778,0.333526500765253,0.604000870291072
"43",0.368892714260823,0.369029929074172,0.399886299305879,0.525861097854822
"44",0.405410531311536,0.423618440414246,0.409491827320027,0.695247026936326
"45",0.3689060486735,0.376227350668077,0.367254638136952,0.605910044522675
"46",0.441844508356355,0.451768210299779,0.439592299632329,0.794276289001178
"47",0.495111896356128,0.496221016785807,0.478686568137308,0.800309282359305
"48",0.536492029498978,0.532930401787881,0.516027893498074,0.800312395716236
"49",0.397624950555112,0.411978820849917,0.399382185101555,0.977957156651955
"50",0.544352330176807,0.554085263641447,0.526724360104838,1.12500828069343
