"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0198,-0.0302
"2","PM",0.1,0.03,-0.07
"3","PM",0.25,0.09,-0.16
"4","PM",0.75,0.846,0.096
"5","PM",0.9,0.994,0.094
"6","PM",0.95,0.9976,0.0476
"7","CB",0.05,0.088,0.038
"8","CB",0.1,0.1234,0.0234
"9","CB",0.25,0.222,-0.028
"10","CB",0.75,0.7412,-0.0088
"11","CB",0.9,0.9604,0.0604
"12","CB",0.95,0.9716,0.0216
"13","GR",0.05,0.0849999999999999,0.035
"14","GR",0.1,0.119,0.019
"15","GR",0.25,0.216,-0.034
"16","GR",0.75,0.7398,-0.0102
"17","GR",0.9,0.9604,0.0604
"18","GR",0.95,0.975,0.025
"19","ML",0.05,0.349,0.299
"20","ML",0.1,0.377,0.277
"21","ML",0.25,0.4224,0.1724
"22","ML",0.75,0.5702,-0.1798
"23","ML",0.9,0.7212,-0.1788
"24","ML",0.95,0.7512,-0.1988
