"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0049,-0.0451
"2","PM",0.1,0.0133,-0.0867
"3","PM",0.25,0.0865,-0.1635
"4","PM",0.75,0.9187,0.1687
"5","PM",0.9,0.9874,0.0874
"6","PM",0.95,0.996,0.046
"7","CB",0.05,0.0444,-0.0056
"8","CB",0.1,0.0795,-0.0205
"9","CB",0.25,0.2168,-0.0332
"10","CB",0.75,0.7861,0.0361
"11","CB",0.9,0.916,0.016
"12","CB",0.95,0.9551,0.0051
"13","GR",0.05,0.0451999999999999,-0.0048
"14","GR",0.1,0.0768,-0.0232
"15","GR",0.25,0.2011,-0.0489
"16","GR",0.75,0.8018,0.0518
"17","GR",0.9,0.920099999999999,0.0201
"18","GR",0.95,0.954,0.004
"19","ML",0.05,0.3147,0.2647
"20","ML",0.1,0.3607,0.2607
"21","ML",0.25,0.433,0.183
"22","ML",0.75,0.574,-0.176
"23","ML",0.9,0.6465,-0.2535
"24","ML",0.95,0.6917,-0.2583
