"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0.0012
"[-5.76,-5.52)",0,0,0,4e-04
"[-5.52,-5.28)",0,0,0,0.0012
"[-5.28,-5.04)",0,0,0,0.0016
"[-5.04,-4.8)",0,0,0,8e-04
"[-4.8,-4.56)",0,0,0,0.0036
"[-4.56,-4.32)",0,0,0,0.002
"[-4.32,-4.08)",0,0,0,0.0036
"[-4.08,-3.84)",0,0,0,0.0032
"[-3.84,-3.6)",0,0,0,0.0056
"[-3.6,-3.36)",0,4e-04,0,0.0068
"[-3.36,-3.12)",0,8e-04,0,0.0032
"[-3.12,-2.88)",0,4e-04,8e-04,0.0052
"[-2.88,-2.64)",0,0.0012,0.0028,0.0068
"[-2.64,-2.4)",8e-04,0.004,0.004,0.0164
"[-2.4,-2.16)",4e-04,0.0048,0.0044,0.0164
"[-2.16,-1.92)",0.0028,0.0112,0.0128,0.0244
"[-1.92,-1.68)",0.0044,0.0172,0.0168,0.0268
"[-1.68,-1.44)",0.0104,0.0212,0.0236,0.0356
"[-1.44,-1.2)",0.0192,0.0328,0.0376,0.046
"[-1.2,-0.96)",0.0308,0.056,0.0512,0.0532
"[-0.96,-0.72)",0.0604,0.0792,0.0684,0.0688
"[-0.72,-0.48)",0.1044,0.0792,0.088,0.0608
"[-0.48,-0.24)",0.146,0.1048,0.1052,0.0604
"[-0.24,0)",0.1532,0.114,0.1024,0.0612
"[0,0.24)",0.1448,0.11,0.1012,0.0696
"[0.24,0.48)",0.1008,0.082,0.0868,0.0528
"[0.48,0.72)",0.0764,0.0732,0.0744,0.0512
"[0.72,0.96)",0.0488,0.0544,0.0596,0.0564
"[0.96,1.2)",0.03,0.0352,0.0396,0.0392
"[1.2,1.44)",0.0204,0.0348,0.0352,0.0324
"[1.44,1.68)",0.0164,0.0188,0.0256,0.0284
"[1.68,1.92)",0.0072,0.0152,0.0168,0.022
"[1.92,2.16)",0.0084,0.0152,0.0132,0.0224
"[2.16,2.4)",0.0024,0.0088,0.0084,0.014
"[2.4,2.64)",0.0064,0.0064,0.0072,0.014
"[2.64,2.88)",0.0012,0.0044,0.0044,0.016
"[2.88,3.12)",0.0012,0.0044,0.0044,0.0136
"[3.12,3.36)",4e-04,0.0032,0.0012,0.0088
"[3.36,3.6)",0.0016,0.0024,0.002,0.0088
"[3.6,3.84)",0,8e-04,8e-04,0.0044
"[3.84,4.08)",4e-04,0.0012,8e-04,0.0044
"[4.08,4.32)",4e-04,4e-04,4e-04,0.0068
"[4.32,4.56)",0,4e-04,0,0.002
"[4.56,4.8)",0,8e-04,0,0.0016
"[4.8,5.04)",0,0,0,0.0016
"[5.04,5.28)",0,8e-04,0,0.0024
"[5.28,5.52)",0,0,0,8e-04
"[5.52,5.76)",0,0,0,0.0012
"[5.76,6)",0,0,0,8e-04
