"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0226,-0.0274
"2","PM",0.1,0.0684,-0.0316
"3","PM",0.25,0.2322,-0.0178
"4","PM",0.75,0.7394,-0.0106
"5","PM",0.9,0.922,0.022
"6","PM",0.95,0.9726,0.0226
"7","CB",0.05,0.1404,0.0904
"8","CB",0.1,0.2106,0.1106
"9","CB",0.25,0.3458,0.0958
"10","CB",0.75,0.6376,-0.1124
"11","CB",0.9,0.7714,-0.1286
"12","CB",0.95,0.848,-0.102
"13","GR",0.05,0.1414,0.0914
"14","GR",0.1,0.2104,0.1104
"15","GR",0.25,0.3404,0.0904
"16","GR",0.75,0.646,-0.104
"17","GR",0.9,0.7794,-0.1206
"18","GR",0.95,0.8504,-0.0996
"19","ML",0.05,0.31,0.26
"20","ML",0.1,0.3556,0.2556
"21","ML",0.25,0.4236,0.1736
"22","ML",0.75,0.5648,-0.1852
"23","ML",0.9,0.6314,-0.2686
"24","ML",0.95,0.681,-0.269
