"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,2e-04,0,0.0068
"[-5.76,-5.52)",0,4e-04,2e-04,0.0046
"[-5.52,-5.28)",0,2e-04,2e-04,0.0074
"[-5.28,-5.04)",0,6e-04,0,0.01
"[-5.04,-4.8)",0,0.001,8e-04,0.0074
"[-4.8,-4.56)",0,0.0012,6e-04,0.0064
"[-4.56,-4.32)",0,0.0018,0.0014,0.01
"[-4.32,-4.08)",0,0.0024,0.002,0.0116
"[-4.08,-3.84)",2e-04,0.0032,0.0038,0.012
"[-3.84,-3.6)",2e-04,0.0034,0.003,0.0132
"[-3.6,-3.36)",4e-04,0.003,0.0062,0.0148
"[-3.36,-3.12)",0,0.007,0.0066,0.015
"[-3.12,-2.88)",2e-04,0.0084,0.0084,0.0202
"[-2.88,-2.64)",6e-04,0.0088,0.0104,0.0156
"[-2.64,-2.4)",4e-04,0.0152,0.015,0.0186
"[-2.4,-2.16)",0.0024,0.018,0.0176,0.0216
"[-2.16,-1.92)",0.0056,0.0216,0.023,0.0212
"[-1.92,-1.68)",0.0066,0.0286,0.0278,0.0254
"[-1.68,-1.44)",0.0144,0.032,0.0326,0.0232
"[-1.44,-1.2)",0.0282,0.041,0.04,0.0268
"[-1.2,-0.96)",0.0504,0.0512,0.0476,0.0268
"[-0.96,-0.72)",0.0676,0.0546,0.0536,0.029
"[-0.72,-0.48)",0.0862,0.0608,0.0602,0.029
"[-0.48,-0.24)",0.114,0.0642,0.0636,0.0292
"[-0.24,0)",0.1142,0.0658,0.0684,0.031
"[0,0.24)",0.1108,0.0604,0.0668,0.0278
"[0.24,0.48)",0.1044,0.061,0.065,0.0314
"[0.48,0.72)",0.097,0.064,0.0612,0.0326
"[0.72,0.96)",0.0792,0.0532,0.0552,0.0236
"[0.96,1.2)",0.0488,0.0488,0.0496,0.0262
"[1.2,1.44)",0.0298,0.0488,0.0412,0.029
"[1.44,1.68)",0.0168,0.0324,0.0358,0.028
"[1.68,1.92)",0.0092,0.0302,0.028,0.0266
"[1.92,2.16)",0.0074,0.0284,0.023,0.0236
"[2.16,2.4)",0.0026,0.0184,0.0186,0.022
"[2.4,2.64)",0.0014,0.014,0.0152,0.0194
"[2.64,2.88)",6e-04,0.0102,0.0114,0.0192
"[2.88,3.12)",2e-04,0.009,0.0096,0.0156
"[3.12,3.36)",0,0.0068,0.0074,0.0146
"[3.36,3.6)",0,0.0052,0.0048,0.0146
"[3.6,3.84)",2e-04,0.006,0.0048,0.0108
"[3.84,4.08)",0,0.0014,0.0036,0.0128
"[4.08,4.32)",0,0.0012,0.0014,0.0136
"[4.32,4.56)",0,0.0022,0.0018,0.0104
"[4.56,4.8)",0,0.0012,0.001,0.0086
"[4.8,5.04)",0,8e-04,6e-04,0.0096
"[5.04,5.28)",0,2e-04,4e-04,0.0048
"[5.28,5.52)",0,2e-04,4e-04,0.0068
"[5.52,5.76)",0,4e-04,0,0.0046
"[5.76,6)",0,0,0,0.0064
