"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0356,-0.0144
"2","PM",0.1,0.0576,-0.0424
"3","PM",0.25,0.1348,-0.1152
"4","PM",0.75,0.764,0.014
"5","PM",0.9,0.9896,0.0896
"6","PM",0.95,0.9944,0.0444
"7","CB",0.05,0.1272,0.0772
"8","CB",0.1,0.1704,0.0704
"9","CB",0.25,0.266,0.016
"10","CB",0.75,0.6732,-0.0768
"11","CB",0.9,0.9404,0.0404
"12","CB",0.95,0.9588,0.0088
"13","GR",0.05,0.1152,0.0652
"14","GR",0.1,0.1512,0.0512
"15","GR",0.25,0.2448,-0.0052
"16","GR",0.75,0.6808,-0.0692
"17","GR",0.9,0.943199999999999,0.0432
"18","GR",0.95,0.964,0.014
"19","ML",0.05,0.3388,0.2888
"20","ML",0.1,0.3604,0.2604
"21","ML",0.25,0.414,0.164
"22","ML",0.75,0.550800000000001,-0.1992
"23","ML",0.9,0.6956,-0.2044
"24","ML",0.95,0.7232,-0.2268
