"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0352,-0.0148
"2","PM",0.1,0.0728,-0.0272
"3","PM",0.25,0.2324,-0.0176
"4","PM",0.75,0.7916,0.0416
"5","PM",0.9,0.9312,0.0312
"6","PM",0.95,0.9656,0.0156
"7","CB",0.05,0.046,-0.004
"8","CB",0.1,0.0976,-0.0024
"9","CB",0.25,0.2688,0.0188
"10","CB",0.75,0.754,0.004
"11","CB",0.9,0.9004,4e-04
"12","CB",0.95,0.9524,0.0024
"13","GR",0.05,0.0484,-0.0016
"14","GR",0.1,0.1068,0.0068
"15","GR",0.25,0.2724,0.0224
"16","GR",0.75,0.750000000000001,0
"17","GR",0.9,0.8984,-0.0016
"18","GR",0.95,0.952,0.002
"19","ML",0.05,0.0724,0.0224
"20","ML",0.1,0.144,0.044
"21","ML",0.25,0.3068,0.0568
"22","ML",0.75,0.706,-0.044
"23","ML",0.9,0.864,-0.036
"24","ML",0.95,0.926,-0.024
