"","var_true_theta"
"1",1.13610045627454
"2",1.20165710640827
"3",0.931104725105573
"4",1.00235673668586
"5",0.98252408880314
"6",0.736508981730282
"7",1.20144852019277
"8",0.597524434925368
"9",0.584275281629474
"10",0.836045481669481
"11",1.02618511473839
"12",0.691913020820282
"13",0.855844988057901
"14",0.892478877434404
"15",1.26993170974742
"16",0.716344656641901
"17",0.87960310099566
"18",0.89298781532965
"19",1.30170196876567
"20",1.11359754949258
"21",1.05616222381513
"22",1.28037397289034
"23",1.17035295808312
"24",1.16628977344035
"25",1.37316098404071
"26",0.939755969248081
"27",0.683272815001656
"28",1.26408059777641
"29",1.0183984804397
"30",0.88153054599796
"31",1.37712704515079
"32",0.926238477846474
"33",1.2243470250199
"34",1.08034517431159
"35",1.00618393428671
"36",0.845764814644692
"37",1.65129813377846
"38",1.21931602362383
"39",0.727337340367871
"40",0.769265607074054
"41",1.08800745559959
"42",1.24521663353501
"43",0.895227159136756
"44",0.448626457702607
"45",1.10318752209703
"46",1.07118736646398
"47",0.788495618579721
"48",0.683491288320105
"49",0.959551255457861
"50",0.843882575780654
"51",1.06573487736356
"52",0.436282181349148
"53",0.980654190667393
"54",0.682159454877751
"55",1.43177560573063
"56",1.10968512415818
"57",0.542459340310957
"58",0.988380782742248
"59",0.936318185164766
"60",0.979838828649299
"61",1.24113249864124
"62",0.733274445043236
"63",0.830902985866135
"64",0.880458800585276
"65",1.28805085069285
"66",1.28224072730777
"67",1.18069566837795
"68",1.00061442298408
"69",0.840194156020114
"70",0.913459101310727
"71",1.38951713746
"72",1.42132456002793
"73",0.927804705612104
"74",1.24559029293409
"75",1.03138824515678
"76",0.465791198175061
"77",1.02465504522152
"78",0.611098946257944
"79",1.2601074685434
"80",0.904694868511018
"81",1.63086579636556
"82",0.988328010586941
"83",1.29634540752702
"84",1.38619669416905
"85",1.41963472521063
"86",0.921071529148684
"87",0.80957213302813
"88",0.71434137466848
"89",0.720594112973972
"90",1.43152635324747
"91",1.67876916400611
"92",1.4727525266865
"93",1.37813538806105
"94",0.80415656816937
"95",1.3257603282847
"96",0.821625840343919
"97",1.1064298044762
"98",0.680879444053138
"99",1.14606669185758
"100",1.13342032907452
