"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,2e-04
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,2e-04
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,0
"[-4.56,-4.32)",0,0,0,0
"[-4.32,-4.08)",0,0,0,4e-04
"[-4.08,-3.84)",0,4e-04,0,4e-04
"[-3.84,-3.6)",0,4e-04,0,4e-04
"[-3.6,-3.36)",4e-04,4e-04,4e-04,0.0016
"[-3.36,-3.12)",4e-04,6e-04,6e-04,0.0028
"[-3.12,-2.88)",6e-04,0.0022,0.0014,0.0042
"[-2.88,-2.64)",4e-04,0.0026,0.0018,0.0064
"[-2.64,-2.4)",0.0034,0.0044,0.005,0.0108
"[-2.4,-2.16)",0.003,0.0084,0.0084,0.0122
"[-2.16,-1.92)",0.008,0.0114,0.012,0.0186
"[-1.92,-1.68)",0.012,0.019,0.0202,0.0264
"[-1.68,-1.44)",0.0218,0.0306,0.029,0.0362
"[-1.44,-1.2)",0.0324,0.0334,0.0386,0.0404
"[-1.2,-0.96)",0.0434,0.0508,0.051,0.048
"[-0.96,-0.72)",0.0646,0.0644,0.0664,0.0682
"[-0.72,-0.48)",0.0894,0.0844,0.0776,0.0672
"[-0.48,-0.24)",0.101,0.0858,0.0886,0.071
"[-0.24,0)",0.1106,0.0924,0.0958,0.077
"[0,0.24)",0.1262,0.1062,0.0958,0.0848
"[0.24,0.48)",0.1014,0.088,0.092,0.078
"[0.48,0.72)",0.0846,0.0812,0.081,0.0712
"[0.72,0.96)",0.0688,0.0666,0.0674,0.0556
"[0.96,1.2)",0.054,0.0554,0.0534,0.0622
"[1.2,1.44)",0.0294,0.0416,0.0398,0.045
"[1.44,1.68)",0.0202,0.0244,0.028,0.0286
"[1.68,1.92)",0.0102,0.019,0.0182,0.0272
"[1.92,2.16)",0.0068,0.0104,0.0124,0.0186
"[2.16,2.4)",0.0026,0.0064,0.0072,0.0146
"[2.4,2.64)",0.002,0.0038,0.0038,0.008
"[2.64,2.88)",0.001,0.0016,0.0022,0.0046
"[2.88,3.12)",8e-04,0.0012,0.0014,0.0038
"[3.12,3.36)",4e-04,0.0014,0,0.0014
"[3.36,3.6)",2e-04,8e-04,4e-04,0.0018
"[3.6,3.84)",0,2e-04,2e-04,6e-04
"[3.84,4.08)",0,0,0,6e-04
"[4.08,4.32)",0,2e-04,0,4e-04
"[4.32,4.56)",0,0,0,2e-04
"[4.56,4.8)",0,0,0,2e-04
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,0,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
