"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0594,0.0094
"2","PM",0.1,0.108,0.008
"3","PM",0.25,0.2394,-0.0106
"4","PM",0.75,0.6954,-0.0546
"5","PM",0.9,0.9524,0.0524
"6","PM",0.95,0.974,0.024
"7","CB",0.05,0.0798,0.0298
"8","CB",0.1,0.136,0.036
"9","CB",0.25,0.2618,0.0118
"10","CB",0.75,0.6808,-0.0692
"11","CB",0.9,0.9388,0.0388
"12","CB",0.95,0.9662,0.0162
"13","GR",0.05,0.0858,0.0358
"14","GR",0.1,0.1364,0.0364
"15","GR",0.25,0.2602,0.0102
"16","GR",0.75,0.6764,-0.0736
"17","GR",0.9,0.942,0.042
"18","GR",0.95,0.969399999999999,0.0194
"19","ML",0.05,0.105,0.055
"20","ML",0.1,0.1626,0.0626
"21","ML",0.25,0.289,0.039
"22","ML",0.75,0.6678,-0.0822
"23","ML",0.9,0.9234,0.0234
"24","ML",0.95,0.9526,0.0026
