"","Est.","S.E.","t.value","p","Est.1","S.E.1","t.value1","p1","Est.2","S.E.2","t.value2","p2","Est.3","S.E.3","t.value3","p3","Est.4","S.E.4","t.value4","p4","Est.5","S.E.5","t.value5","p5","Est.6","S.E.6","t.value6","p6","Est.7","S.E.7","t.value7","p7","Est.8","S.E.8","t.value8","p8","Est.9","S.E.9","t.value9","p9","Est.10","S.E.10","t.value10","p10","Est.11","S.E.11","t.value11","p11","Est.12","S.E.12","t.value12","p12","Est.13","S.E.13","t.value13","p13","Est.14","S.E.14","t.value14","p14","Est.15","S.E.15","t.value15","p15","Est.16","S.E.16","t.value16","p16","Est.17","S.E.17","t.value17","p17","Est.18","S.E.18","t.value18","p18","Est.19","S.E.19","t.value19","p19","Est.20","S.E.20","t.value20","p20"
"25",-1.20296296296311,0.142996949758366,-8.41250785415951,4.23173357356169e-17,-1.31462962962976,0.194003451607102,-6.77632082697252,1.26098537129225e-11,-0.282407407407174,0.287596988132219,-0.981955371790406,0.32613163168635,2.49222222222293,0.360808139863722,6.90733369586465,5.06051457961182e-12,-0.204259259259039,0.289012422836283,-0.706749063775523,0.479729224362655,-0.904629629629665,0.199415852945623,-4.53639776510817,5.74974120846837e-06,-0.967407407407513,0.147031606740425,-6.57958808214217,4.8137087541538e-11,-0.892962962962677,0.195974072896211,-4.55653622831831,5.22575378989102e-06,-0.772592592592295,0.226272776008659,-3.41443016796121,0.000640201743571255,-1.18925925925904,0.299536739184622,-3.9703285229597,7.19805242829161e-05,0.92222222222301,0.401207465567546,2.29861680394815,0.0215351722336034,0.0174074074074738,0.259893475327165,0.0669790089403384,0.946598966301357,-1.15148148148159,0.153966704122679,-7.47876943942436,7.75656254613337e-14,-1.05481481481493,0.13510070466957,-7.8076188972871,6.06261296843752e-15,-1.20092592592599,0.231967716030824,-5.17712527620183,2.27128365983228e-07,-1.36444444444457,0.254410978988817,-5.36315079588035,8.25309136420938e-08,-1.76481481481493,0.308479167221944,-5.72101782661123,1.07134007692428e-08,1.71777777777792,0.391462487241012,4.38810316126237,1.1482596170925e-05,-0.179259259259195,0.250628790654749,-0.715238096911744,0.474468818206244,-0.840000000000169,0.158558517988489,-5.29772862824785,1.18274820519333e-07,-0.527962962963039,0.146289572909311,-3.60902662071711,0.000307966670806124
"26",-0.245925925925901,0.143952904684937,-1.70837765631855,0.0875790883381458,-0.162962962962889,0.198133339164099,-0.822491377021202,0.410805379882862,0.317777777778173,0.315699173628347,1.00658412920736,0.314144708335946,0.869629629630132,0.39033731583695,2.22789263118618,0.0258968124323794,0.0237037037040545,0.325319689726657,0.0728628006622381,0.941915896946976,-0.285925925925851,0.219805221095617,-1.30081498747235,0.193334151572595,-0.314814814814794,0.155640910176869,-2.02269965176278,0.0431150759926412,-0.242962962962492,0.213557630008937,-1.13769272936923,0.255260051364713,-0.183703703703242,0.248603587875159,-0.738942286687723,0.459949195462367,-0.262962962962534,0.319684875920329,-0.822569294857944,0.410761054126042,-0.045185185184056,0.436886508615958,-0.103425453276644,0.917626166956613,-0.241481481481386,0.284935595196099,-0.84749496220433,0.396727658378808,-0.662962962963001,0.155275892228334,-4.26958076652435,1.96584942300786e-05,-0.541481481481511,0.134754450564043,-4.01828272992117,5.88007115727597e-05,-0.277777777777628,0.237473597579716,-1.16972067888255,0.242124890461385,-0.192592592592544,0.262868186742505,-0.732658428466281,0.463773866716809,-0.142222222222063,0.322935496926618,-0.440404426195306,0.659648145328912,0.492592592592486,0.419646161911984,1.17382842332727,0.240475285227963,-0.345185185185109,0.28400462119092,-1.21542101581883,0.22421738964408,-0.206666666666666,0.168688150170874,-1.2251403934261,0.220534228077562,-0.0637037037036986,0.151582715278577,-0.420257043071332,0.674301411116058
"27",-0.442407407407382,0.136896297142539,-3.23169739899348,0.00123221543814552,-0.414259259259199,0.185295792174647,-2.23566468724096,0.0253828072080607,0.28722222222253,0.283331967933064,1.01373037542444,0.310721540284786,2.69944444444481,0.361428706365507,7.46881583256118,8.36489961742069e-14,0.044814814815051,0.284177620617411,0.157700014229429,0.874694502338341,-0.429999999999963,0.194852515338998,-2.20679727563108,0.0273375603048874,-0.471481481481467,0.143732734411293,-3.2802651630652,0.00103855833533843,-0.198518518518252,0.19119435796847,-1.03830740942152,0.299137313291239,-0.0542592592590314,0.2189420218856,-0.247824783893621,0.804272076558425,-0.900740740740447,0.28656956716522,-3.1431835196273,0.00167322393072537,1.35074074074145,0.39997065500664,3.37709960426729,0.000733696002749175,-0.541851851851857,0.257063468780283,-2.10785240867884,0.0350539929005578,-0.927592592592645,0.143906751544808,-6.44578925335424,1.17162227039096e-10,-0.543333333333367,0.126882684326166,-4.28217085900127,1.85790044693194e-05,-0.30185185185171,0.225028731532552,-1.34139249595354,0.17980561504689,-0.472777777777765,0.246830244626331,-1.91539646404957,0.0554537105261369,-0.559999999999884,0.298203203868732,-1.87791409594108,0.0604049086178954,1.87129629629629,0.389937945553799,4.79895921295537,1.60441129347083e-06,-0.530925925925836,0.248427776759427,-2.13714397339705,0.0325962578203283,-0.209074074074091,0.150775339964487,-1.38665960974345,0.165558329551431,0.084444444444436,0.137833594384055,0.612655026677623,0.540110210666077
"28",0.827777777777766,0.173984415811784,4.75776967675802,1.9687014503881e-06,0.989629629629696,0.221548885077284,4.46686802005111,7.9731538740377e-06,1.22222222222282,0.320234893858498,3.81664286329421,0.00013561573216947,2.71962962962975,0.405464114388254,6.7074484106516,2.02413901430241e-11,2.51462962962972,0.337920449050926,7.44148404363288,1.02869626871618e-13,2.14666666666654,0.249800776033279,8.59351480309478,8.93517348791868e-18,1.75574074074063,0.189652732066759,9.25766120850075,2.25753050262957e-20,0.10814814814814,0.253208470374601,0.427111099356762,0.669302201106628,0.201481481481845,0.275712035171542,0.730767814892403,0.464928046049103,-0.176296296295833,0.320680272727394,-0.549757223281707,0.582490965329992,-0.13037037037013,0.453323659012637,-0.287587836589168,0.7736647142792,0.814629629629751,0.290808847153328,2.80125463033193,0.00509446500220159,1.2003703703703,0.177783561184923,6.75186368396414,1.49253812227934e-11,1.31851851851849,0.158508875362743,8.31826303417457,9.39023083936984e-17,1.36574074074017,0.276473667676223,4.93985829543659,7.86994279229542e-07,1.34240740740661,0.295109878408458,4.54883928198634,5.42038327790924e-06,0.2716666666662,0.32600267776198,0.833326488393288,0.404668829096125,-0.91611111111107,0.440807587340895,-2.07825622203414,0.0376962580294853,0.170740740740808,0.297531319477526,0.573858043047818,0.566069189629909,0.0933333333333863,0.18755987873616,0.497618861572618,0.618757219143733,0.501851851851942,0.168333321111732,2.98129834626643,0.00287313972081132
"29",0.765555555555608,0.172274342218561,4.4438164482112,8.87683201815739e-06,1.25129629629649,0.216240243743537,5.78660232079899,7.27081904549545e-09,1.59240740740817,0.292735143874875,5.4397548115672,5.38697849759787e-08,0.472407407407641,0.372677972243899,1.26760217289815,0.204952227505057,2.89111111111127,0.314935783520643,9.18000196354876,4.64553111671707e-20,2.89296296296287,0.244063532596129,11.8533192246712,2.54048784867185e-32,2.07111111111098,0.186626515976242,11.0976251165437,1.50927274050965e-28,0.78203703703706,0.243836169809225,3.20722326654375,0.00134196873381927,0.907962962962797,0.265572397231294,3.41889056403715,0.00062980409347488,-0.291666666666683,0.313691315498264,-0.929788783611693,0.352489710468442,0.870925925925982,0.38623798009294,2.25489457488466,0.0241488280513808,0.38944444444458,0.275618703039417,1.41298264649654,0.157673661641021,1.26851851851847,0.17519769153925,7.24049790481564,4.60362424829841e-13,1.42111111111106,0.157695969976025,9.01171482902905,2.17460700488186e-19,1.47944444444383,0.266450017717971,5.55242764520951,2.84679662016547e-08,1.35055555555474,0.284710770777938,4.74360542056246,2.11142040905922e-06,0.556851851851353,0.306934921214111,1.81423426714911,0.069654019185192,-1.30888888888879,0.391283782711319,-3.34511407505602,0.000823734615161768,0.344259259259275,0.272960454498494,1.26120562002938,0.207246907432602,0.524074074073995,0.186582019552613,2.8088133858269,0.00497642252488225,0.700740740740669,0.174902735062674,4.00645959303935,6.18195668411634e-05
"30",1.25351851851859,0.169818718353311,7.38150971031721,1.6154121217628e-13,1.35388888888907,0.222141076031722,6.09472553691838,1.11278554966343e-09,1.53018518518574,0.321278305940082,4.76280270685666,1.92025712421839e-06,2.61203703703727,0.396212209269764,6.59252031089948,4.41306320897698e-11,1.99259259259289,0.334209383609663,5.96210845749359,2.52448279170834e-09,2.29000000000011,0.243328804424218,9.41113406371626,5.33017273102444e-21,1.93425925925933,0.1829453041231,10.5728827997564,4.53658993631468e-26,0.834444444444612,0.235924145613934,3.53691836955975,0.000405580300621693,1.18185185185245,0.26169461216837,4.51614896485551,6.32710009179543e-06,1.31314814814872,0.30921510571676,4.24671409601692,2.17736130489063e-05,1.20240740740767,0.449312731705341,2.67610357455041,0.00745336746036056,1.5192592592595,0.28435408567343,5.34284308122905,9.23248524071731e-08,1.67074074074083,0.174830361320585,9.55635353105064,1.33151299649161e-21,1.5125925925927,0.155149248845159,9.7492743526093,2.04275352030446e-22,1.68481481481494,0.259384480311278,6.49543416318915,8.43985459343854e-11,1.60833333333324,0.279452124805964,5.75530901563185,8.75253520550571e-09,0.325740740740745,0.31733251535945,1.02649657685337,0.304667815589492,-0.0677777777776703,0.42780538713085,-0.158431333070005,0.874118244634196,1.26000000000019,0.284579520615926,4.42758494101448,9.57101177281052e-06,0.978888888889037,0.168101340467744,5.82320691890539,5.84571463927885e-09,1.28722222222244,0.152627808855452,8.43373322250544,3.53213820809267e-17
"31",1.47685185185194,0.170461232753049,8.66385762909208,4.84024637082737e-18,1.89388888888913,0.219472847471985,8.62926284824768,6.5473491809726e-18,1.89611111111178,0.2978064268904,6.36692475347281,1.96309422110819e-10,1.10500000000035,0.362738893803251,3.04626831827883,0.00231949846880869,2.09018518518547,0.312035691473545,6.6985452058861,2.15111122844461e-11,3.00537037037046,0.238041544950413,12.6254027253794,1.99185270593807e-36,2.31777777777773,0.179765824221159,12.8933171130807,6.54048439882737e-38,1.7185185185187,0.227338116055559,7.55930658851202,4.1956524882316e-14,1.81999999999999,0.252531299625611,7.20702741679238,5.88595133418047e-13,-0.380370370370379,0.300335436923696,-1.26648514829443,0.205351608503441,2.05037037037038,0.382917844925973,5.35459602507363,8.65274341317282e-08,1.46481481481504,0.26906128076983,5.44416800003314,5.25528830186514e-08,1.60814814814819,0.171428601591196,9.38086254698104,7.0987866455119e-21,1.69870370370376,0.154978816816646,10.9608767094504,6.8515363084347e-28,2.15444444444451,0.250555656982232,8.59866614225876,8.54431789330366e-18,2.24018518518508,0.272037034650834,8.23485371416585,1.88750689430955e-16,1.46203703703705,0.305731399108898,4.7820964457638,1.74494557409328e-06,0.471296296296496,0.386191449526331,1.22036957802807,0.222336671823475,1.4461111111112,0.258394417315408,5.59652614067898,2.21051284420519e-08,1.58592592592591,0.168185486671509,9.42962414481968,4.47238360990534e-21,1.78722222222223,0.160182581294266,11.157406802797,7.74547819121884e-29
"32",-3.0453703703703,0.174844249669918,-17.4176181150913,1.5638829894833e-67,-2.62629629629609,0.223398155022444,-11.7561234829009,8.0144107855924e-32,0.0635185185189742,0.319585642180723,0.198752728957251,0.842457841271719,2.94870370370381,0.392162961824223,7.51907750285069,5.70752144373132e-14,0.540555555555654,0.3283553848556,1.64625153259896,0.0997249425501294,-2.11777777777775,0.23896331299857,-8.8623552762278,8.36085328285563e-19,-2.8718518518518,0.184232613327955,-15.5881838724156,1.61147916220269e-54,-6.05981481481461,0.255761951988788,-23.6931833202471,1.0515160875298e-122,-4.04703703703652,0.280971852478478,-14.4037098425954,7.65623573849134e-47,1.32148148148157,0.315386472390104,4.19003856274158,2.79893630003742e-05,3.81203703703657,0.432802531304359,8.80779746261661,1.35996310243666e-18,1.80277777777768,0.285983486055034,6.3037827905586,2.95468994804085e-10,-1.2577777777778,0.175366656856563,-7.17227436688016,7.58787476838297e-13,-2.21055555555553,0.157851835441172,-14.0039901935721,2.19483296325712e-44,-5.94166666666652,0.27781064727564,-21.3874692166542,1.48522991726074e-100,-3.8183333333335,0.295299391716596,-12.9303799480834,4.05484213803634e-38,1.33981481481454,0.319203920792318,4.19736327639365,2.71002173079819e-05,3.58537037037034,0.423862590515464,8.45880351462519,2.8516350671533e-17,1.52777777777788,0.28805840881101,5.30370831417121,1.14467738468899e-07,-1.01370370370363,0.182390640515186,-5.55787128572112,2.75955382065791e-08,-1.92740740740729,0.164306525744188,-11.7305590796077,1.08253352503303e-31
"33",-2.98740740740719,0.173874207025606,-17.181429370759,8.97211482242914e-66,-2.29018518518477,0.220707364409912,-10.3765689527754,3.57867196622887e-25,0.65185185185247,0.298666106240458,2.18254377792591,0.0290789843173167,2.84722222222247,0.358968893441899,7.9316683819661,2.25500398625509e-15,1.05444444444454,0.307233877801665,3.43205785764694,0.000600019018153599,-1.84148148148136,0.233260167025814,-7.89453898177812,3.03661902740941e-15,-2.79462962962949,0.180880759339925,-15.4501210622275,1.35642125192287e-53,-4.56092592592558,0.246215645737012,-18.5241108958494,4.42374421757722e-76,-0.987777777777828,0.271895454502891,-3.63293229592158,0.000280796684533541,4.70499999999959,0.305738353926204,15.3889753757725,3.46401425545819e-53,6.15962962962882,0.376835761401404,16.3456610559517,9.75125677384936e-60,2.76888888888873,0.269139817748736,10.2879199073907,8.98277791897611e-25,-0.661296296296334,0.172378405097358,-3.83630592197925,0.000125215072622302,-1.90129629629626,0.157481610914365,-12.07313212798,1.82701230717868e-33,-5.00203703703677,0.266664907077025,-18.7577626612562,5.96504518508594e-78,-2.0498148148149,0.284727282386819,-7.19922164687437,6.23212512242053e-13,3.83351851851832,0.303878754263071,12.6152896993898,2.26290324045242e-36,7.17907407407395,0.377891411763346,18.9977169382453,6.78317344147619e-80,2.31222222222224,0.263575705394458,8.77251649108497,1.85985961875869e-18,-0.0766666666667097,0.181419023723945,-0.422594417569841,0.672594947308071,-1.45148148148156,0.171009554420069,-8.48772155686773,2.22614630960361e-17
"34",0.609444444444463,0.132737321098987,4.59135712095604,4.42583071284061e-06,0.952592592592689,0.180294195553961,5.28354553881121,1.27801146311458e-07,1.43166666666714,0.303938110419163,4.71038878504811,2.48613774257953e-06,2.14296296296319,0.413647680700668,5.18064783859848,2.22885087929421e-07,1.51888888888902,0.312570984695961,4.85934064022753,1.18512644439009e-06,1.01888888888885,0.199689784902479,5.10235858777872,3.37975508153526e-07,0.539629629629579,0.139850299807688,3.85862333060165,0.000114322645059553,0.261851851852034,0.199491402233035,1.31259717923158,0.189331143466279,2.23203703703756,0.229108936695136,9.7422521759054,2.18840161256976e-22,5.05981481481505,0.304927502457437,16.5935009929822,1.69646117909011e-61,0.7466666666663,0.460774543935394,1.62045988975248,0.105146526458723,0.771111111111106,0.27136060874747,2.84164718921569,0.00449185602945084,-0.247777777777817,0.144777397196655,-1.71143964856099,0.0870127712347635,0.192777777777751,0.12254433501014,1.57312680151065,0.115702506455298,-0.237777777777718,0.225941055439421,-1.05238854140641,0.292631810298305,1.8335185185183,0.244894259239675,7.48698039803317,7.28764576337585e-14,4.33314814814798,0.307992762109745,14.068993434995,8.8381661631549e-45,-0.471481481481423,0.443822296068496,-1.06232040539184,0.288100833301973,-0.34037037037023,0.277166047743208,-1.22803775260951,0.219444715796678,0.265370370370446,0.148426815646415,1.7878869745654,0.0738067272234847,0.933148148148214,0.128888923175896,7.23994060276801,4.62253971285346e-13
