,predictor_Gaussian,estimate_Gaussian,t-value_Gaussian,predictor_Gaussian1,estimate_Gaussian1,t-value_Gaussian1,predictor_Gaussian2,estimate_Gaussian2,t-value_Gaussian2,predictor_Gaussian3,estimate_Gaussian3,t-value_Gaussian3,predictor_Gaussian4,estimate_Gaussian4,t-value_Gaussian4,predictor_Gaussian5,estimate_Gaussian5,t-value_Gaussian5,predictor_Gaussian6,estimate_Gaussian6,t-value_Gaussian6,predictor_ALD,estimate_ALD,t-value_ALD,predictor_ALD1,estimate_ALD1,t-value_ALD1,predictor_ALD2,estimate_ALD2,t-value_ALD2,predictor_ALD3,estimate_ALD3,t-value_ALD3,predictor_ALD4,estimate_ALD4,t-value_ALD4,predictor_ALD5,estimate_ALD5,t-value_ALD5,predictor_ALD6,estimate_ALD6,t-value_ALD6,predictor_Mixed,estimate_Mixed,t-value_Mixed,predictor_Mixed1,estimate_Mixed1,t-value_Mixed1,predictor_Mixed2,estimate_Mixed2,t-value_Mixed2,predictor_Mixed3,estimate_Mixed3,t-value_Mixed3,predictor_Mixed4,estimate_Mixed4,t-value_Mixed4,predictor_Mixed5,estimate_Mixed5,t-value_Mixed5,predictor_Mixed6,estimate_Mixed6,t-value_Mixed6
14,NN50:II0.9,2.4,10.2,NN50:II0.9,3.5,10.4,NN50:II0.9,4.8,8.4,NN50:II0.9,0.6,0.7,NN50:II0.9,-3.6,-6.4,NN50:II0.9,-3.2,-9.1,NN50:II0.9,-1.7,-7.1,NN50:II0.9,2,6.6,NN50:II0.9,2.4,6.3,NN50:II0.9,3.4,5.9,NN50:II0.9,1,1.3,NN50:II0.9,-5.9,-12.3,NN50:II0.9,-2.8,-10,NN50:II0.9,-2.3,-10,NN50:II0.9,2.4,7.3,NN50:II0.9,3.1,7.7,NN50:II0.9,4.5,7.7,NN50:II0.9,3.1,4,NN50:II0.9,-0.8,-1.7,NN50:II0.9,-0.8,-2.6,NN50:II0.9,-0.8,-3.1
15,NN200:II0.9,2.4,10.9,NN200:II0.9,3.7,11.8,NN200:II0.9,6.1,12.1,NN200:II0.9,-1,-1.5,NN200:II0.9,-6.8,-13.5,NN200:II0.9,-3.9,-12.5,NN200:II0.9,-2.1,-9.7,NN200:II0.9,3.7,13.8,NN200:II0.9,4.4,13.2,NN200:II0.9,7.6,15,NN200:II0.9,8,12.1,NN200:II0.9,-6.7,-15.3,NN200:II0.9,-2.9,-11.4,NN200:II0.9,-2.3,-10.9,NN200:II0.9,3.5,11.5,NN200:II0.9,4.5,12.2,NN200:II0.9,7.9,15.3,NN200:II0.9,7.5,11.1,NN200:II0.9,-4.2,-10.1,NN200:II0.9,-1.8,-7,NN200:II0.9,-1.5,-6.7
16,NN50:RR5,0.8,3.4,NN50:RR5,1,3.1,NN50:RR5,1,2,NN50:RR5,0.2,0.2,NN50:RR5,-0.9,-1.6,NN50:RR5,-0.8,-2.2,NN50:RR5,-0.6,-2.7,NN50:RR5,0.1,0.3,NN50:RR5,-0.3,-0.9,NN50:RR5,-0.9,-1.7,NN50:RR5,-2.7,-3.6,NN50:RR5,-1.3,-2.7,NN50:RR5,-0.2,-0.8,NN50:RR5,0,0.2,NN50:RR5,0.5,1.5,NN50:RR5,0.5,1.3,NN50:RR5,-1.1,-2,NN50:RR5,-1.5,-2.1,NN50:RR5,-1.1,-2.4,NN50:RR5,-0.4,-1.5,NN50:RR5,-0.7,-3.2
17,NN200:RR5,0.8,4.1,NN200:RR5,1,3.5,NN200:RR5,0.6,1.4,NN200:RR5,0.7,1.1,NN200:RR5,-1,-2,NN200:RR5,-1.2,-3.8,NN200:RR5,-1,-4.7,NN200:RR5,0.5,1.8,NN200:RR5,0.2,0.8,NN200:RR5,0.3,0.6,NN200:RR5,-1.4,-2.1,NN200:RR5,-1.1,-2.5,NN200:RR5,0.1,0.2,NN200:RR5,0.3,1.7,NN200:RR5,0.4,1.3,NN200:RR5,0.3,1,NN200:RR5,-0.7,-1.4,NN200:RR5,-1.5,-2.3,NN200:RR5,-1.5,-3.7,NN200:RR5,-0.7,-2.6,NN200:RR5,-0.7,-3.2
18,NN50:RR10,0.6,2.9,NN50:RR10,0.6,1.7,NN50:RR10,-0.1,-0.2,NN50:RR10,-0.1,-0.1,NN50:RR10,-0.5,-0.9,NN50:RR10,-1.3,-3.9,NN50:RR10,-1.1,-4.8,NN50:RR10,-0.2,-0.6,NN50:RR10,-0.5,-1.5,NN50:RR10,-1.2,-2.2,NN50:RR10,-1.3,-1.8,NN50:RR10,-1.4,-3.2,NN50:RR10,-0.1,-0.6,NN50:RR10,0.1,0.6,NN50:RR10,0,-0.2,NN50:RR10,-0.4,-1.1,NN50:RR10,-2.1,-3.9,NN50:RR10,-3,-4.2,NN50:RR10,-3.3,-7.1,NN50:RR10,-1.6,-5.9,NN50:RR10,-1.3,-5.5
19,NN200:RR10,0.7,3.4,NN200:RR10,0.7,2.5,NN200:RR10,0.6,1.2,NN200:RR10,1.2,1.8,NN200:RR10,-0.9,-1.9,NN200:RR10,-2.1,-7.2,NN200:RR10,-1.7,-8.2,NN200:RR10,0.4,1.8,NN200:RR10,0.2,0.6,NN200:RR10,0.1,0.3,NN200:RR10,-0.5,-0.8,NN200:RR10,-2.4,-6,NN200:RR10,-0.8,-3.4,NN200:RR10,-0.3,-1.6,NN200:RR10,0.3,1.3,NN200:RR10,0.3,1,NN200:RR10,-0.8,-1.7,NN200:RR10,-2,-3.1,NN200:RR10,-2.2,-5.9,NN200:RR10,-1,-4,NN200:RR10,-0.7,-3.5
20,NN50:anlDP_diffuse,0.5,2.2,NN50:anlDP_diffuse,0.8,2.5,NN50:anlDP_diffuse,1.1,2.2,NN50:anlDP_diffuse,-0.2,-0.3,NN50:anlDP_diffuse,-1.1,-2,NN50:anlDP_diffuse,-0.9,-2.7,NN50:anlDP_diffuse,-0.5,-2,NN50:anlDP_diffuse,0.8,2.7,NN50:anlDP_diffuse,1,2.8,NN50:anlDP_diffuse,1.8,3.5,NN50:anlDP_diffuse,1.7,2.5,NN50:anlDP_diffuse,-0.9,-2,NN50:anlDP_diffuse,-0.2,-0.8,NN50:anlDP_diffuse,-0.1,-0.4,NN50:anlDP_diffuse,0.6,2,NN50:anlDP_diffuse,0.8,2.1,NN50:anlDP_diffuse,1.3,2.5,NN50:anlDP_diffuse,1,1.5,NN50:anlDP_diffuse,-1.1,-2.4,NN50:anlDP_diffuse,-0.7,-2.6,NN50:anlDP_diffuse,-0.5,-2.4
21,NN200:anlDP_diffuse,1.4,6.7,NN200:anlDP_diffuse,1.9,6.5,NN200:anlDP_diffuse,3,6.5,NN200:anlDP_diffuse,-0.2,-0.3,NN200:anlDP_diffuse,-2.5,-5.3,NN200:anlDP_diffuse,-1.7,-5.9,NN200:anlDP_diffuse,-1.1,-5.2,NN200:anlDP_diffuse,1,3.9,NN200:anlDP_diffuse,1.1,3.5,NN200:anlDP_diffuse,2.3,5,NN200:anlDP_diffuse,4.2,6.9,NN200:anlDP_diffuse,-2.1,-5.2,NN200:anlDP_diffuse,-1.3,-5.6,NN200:anlDP_diffuse,-1.1,-5.5,NN200:anlDP_diffuse,1.3,4.5,NN200:anlDP_diffuse,1.6,4.9,NN200:anlDP_diffuse,3,6.4,NN200:anlDP_diffuse,3.8,6.1,NN200:anlDP_diffuse,-2.7,-6.8,NN200:anlDP_diffuse,-1.8,-7.3,NN200:anlDP_diffuse,-1.5,-7.4
22,NN50:anlDP_Inform,-0.1,-0.5,NN50:anlDP_Inform,-0.2,-0.5,NN50:anlDP_Inform,-0.3,-0.6,NN50:anlDP_Inform,-0.5,-0.7,NN50:anlDP_Inform,0.4,0.8,NN50:anlDP_Inform,0.4,1.4,NN50:anlDP_Inform,0.3,1.6,NN50:anlDP_Inform,-0.9,-3.8,NN50:anlDP_Inform,-1.3,-4.2,NN50:anlDP_Inform,-1.2,-2.3,NN50:anlDP_Inform,1.1,1.4,NN50:anlDP_Inform,0.5,1.1,NN50:anlDP_Inform,0.2,0.7,NN50:anlDP_Inform,0.1,0.7,NN50:anlDP_Inform,-0.9,-3.3,NN50:anlDP_Inform,-0.9,-2.8,NN50:anlDP_Inform,-0.4,-0.9,NN50:anlDP_Inform,1.3,1.8,NN50:anlDP_Inform,-0.1,-0.1,NN50:anlDP_Inform,-0.2,-0.9,NN50:anlDP_Inform,-0.1,-0.6
23,NN200:anlDP_Inform,-0.3,-1.7,NN200:anlDP_Inform,-0.6,-2.4,NN200:anlDP_Inform,-0.9,-2,NN200:anlDP_Inform,-0.4,-0.7,NN200:anlDP_Inform,0.8,1.8,NN200:anlDP_Inform,0.6,2.3,NN200:anlDP_Inform,0.5,2.8,NN200:anlDP_Inform,-2.1,-10.1,NN200:anlDP_Inform,-3.2,-11.6,NN200:anlDP_Inform,-3.3,-7.3,NN200:anlDP_Inform,2.6,4.1,NN200:anlDP_Inform,1.3,3.4,NN200:anlDP_Inform,0,0.1,NN200:anlDP_Inform,-0.1,-0.8,NN200:anlDP_Inform,-1.9,-7.5,NN200:anlDP_Inform,-2.4,-7.8,NN200:anlDP_Inform,-1.4,-3.1,NN200:anlDP_Inform,3.3,5.2,NN200:anlDP_Inform,-0.1,-0.1,NN200:anlDP_Inform,-0.7,-3.1,NN200:anlDP_Inform,-0.6,-3
