,predictor_Gaussian,estimate_Gaussian,t-value_Gaussian,predictor_Gaussian1,estimate_Gaussian1,t-value_Gaussian1,predictor_Gaussian2,estimate_Gaussian2,t-value_Gaussian2,predictor_Gaussian3,estimate_Gaussian3,t-value_Gaussian3,predictor_Gaussian4,estimate_Gaussian4,t-value_Gaussian4,predictor_Gaussian5,estimate_Gaussian5,t-value_Gaussian5,predictor_Gaussian6,estimate_Gaussian6,t-value_Gaussian6,predictor_ALD,estimate_ALD,t-value_ALD,predictor_ALD1,estimate_ALD1,t-value_ALD1,predictor_ALD2,estimate_ALD2,t-value_ALD2,predictor_ALD3,estimate_ALD3,t-value_ALD3,predictor_ALD4,estimate_ALD4,t-value_ALD4,predictor_ALD5,estimate_ALD5,t-value_ALD5,predictor_ALD6,estimate_ALD6,t-value_ALD6,predictor_Mixed,estimate_Mixed,t-value_Mixed,predictor_Mixed1,estimate_Mixed1,t-value_Mixed1,predictor_Mixed2,estimate_Mixed2,t-value_Mixed2,predictor_Mixed3,estimate_Mixed3,t-value_Mixed3,predictor_Mixed4,estimate_Mixed4,t-value_Mixed4,predictor_Mixed5,estimate_Mixed5,t-value_Mixed5,predictor_Mixed6,estimate_Mixed6,t-value_Mixed6
1,(Intercept),6,27.4,(Intercept),11.3,33.2,(Intercept),25.1,49.5,(Intercept),36.8,61.3,(Intercept),26.6,48.7,(Intercept),12.2,27.9,(Intercept),6.4,24.3,(Intercept),6.7,19.7,(Intercept),12.3,31,(Intercept),24.3,53.6,(Intercept),39.6,64.4,(Intercept),25,55,(Intercept),10.6,43.9,(Intercept),5.9,33.2,(Intercept),7.2,17.1,(Intercept),12.5,26,(Intercept),24.4,50.9,(Intercept),39.3,66.8,(Intercept),23.6,57,(Intercept),10.5,53.2,(Intercept),6,35.6
2,NN50,-1.6,-7.9,NN50,-1.9,-6.6,NN50,-1.5,-3.4,NN50,-2.4,-4.1,NN50,-2.2,-4.5,NN50,-1.7,-4.6,NN50,-1.3,-5.6,NN50,-2.1,-6.9,NN50,-2.7,-7.6,NN50,-2.3,-5.3,NN50,-2.7,-4.5,NN50,-1.8,-4.5,NN50,-1,-4.7,NN50,-1.3,-7.1,NN50,-2.5,-7,NN50,-2.8,-7,NN50,-1.5,-3.3,NN50,-1,-1.8,NN50,1.1,2.7,NN50,-0.4,-1.8,NN50,-1,-5.1
3,NN200,-1.6,-8.2,NN200,-2.1,-7.6,NN200,-3.9,-9.4,NN200,-8.7,-15.7,NN200,-4.1,-9.6,NN200,-2.2,-6.8,NN200,-1.7,-7.6,NN200,-3.6,-12.9,NN200,-4.5,-14.2,NN200,-2.9,-7.5,NN200,-1.9,-3.3,NN200,-2.6,-6.8,NN200,-1,-4.7,NN200,-1.4,-8.1,NN200,-3.5,-10.5,NN200,-3.7,-10.1,NN200,-2,-4.9,NN200,-2.5,-4.5,NN200,-0.4,-1.3,NN200,-0.8,-4.2,NN200,-1.5,-9.2
4,II0.5,-1.3,-6.4,II0.5,-3.2,-11.1,II0.5,-11.1,-25,II0.5,-21.8,-39,II0.5,-12,-25.7,II0.5,-4,-11.5,II0.5,-1.6,-7,II0.5,-1.1,-3.8,II0.5,-3.4,-9.8,II0.5,-8,-18.9,II0.5,-16.2,-26,II0.5,-7.2,-18.1,II0.5,-2.5,-11.6,II0.5,-1.6,-8.9,II0.5,-2.1,-5.9,II0.5,-4.4,-11.2,II0.5,-8.7,-19.8,II0.5,-16,-27.2,II0.5,-8,-20.7,II0.5,-2.2,-10.8,II0.5,-1.2,-7
5,II0.9,-2.2,-10.8,II0.9,-5.7,-20,II0.9,-17.8,-43.8,II0.9,-26.9,-54,II0.9,-18.8,-43.1,II0.9,-7.1,-21,II0.9,-3,-12.9,II0.9,-2.8,-9.7,II0.9,-6,-17.7,II0.9,-13.3,-33.2,II0.9,-29.9,-59,II0.9,-13.4,-35.5,II0.9,-5.4,-25.3,II0.9,-2.7,-15,II0.9,-3.9,-11.3,II0.9,-7.1,-18.5,II0.9,-15.6,-38.1,II0.9,-29.2,-58.1,II0.9,-15,-42.7,II0.9,-5.4,-26,II0.9,-1.8,-9.2
6,RR5,-1,-4.9,RR5,-1.5,-5.2,RR5,-1,-2.4,RR5,-1,-1.8,RR5,-3,-6.5,RR5,-2.3,-6.8,RR5,-1.5,-6.8,RR5,-0.7,-2.2,RR5,-0.5,-1.4,RR5,0.2,0.5,RR5,-0.9,-1.5,RR5,-1.5,-3.8,RR5,-1.1,-5.3,RR5,-0.9,-5,RR5,-1,-2.5,RR5,-1.1,-2.6,RR5,-0.8,-1.9,RR5,-0.4,-0.7,RR5,-0.1,-0.3,RR5,-0.4,-1.5,RR5,-0.8,-3.8
7,RR10,-1.2,-5.9,RR10,-1.4,-4.8,RR10,-0.6,-1.3,RR10,0.2,0.3,RR10,-2.6,-5.8,RR10,-2.6,-7.8,RR10,-1.9,-8.4,RR10,-1.2,-4.1,RR10,-1.3,-3.7,RR10,-0.9,-2.2,RR10,-1.4,-2.4,RR10,-1.6,-4.1,RR10,-1.3,-6,RR10,-1.1,-5.8,RR10,-1.4,-3.9,RR10,-1.8,-4.5,RR10,-1.3,-2.9,RR10,-0.8,-1.5,RR10,-1.5,-4.3,RR10,-1.3,-7.1,RR10,-1.2,-7.3
8,anlDP_diffuse,2.2,9.1,anlDP_diffuse,1.7,5.2,anlDP_diffuse,-1.3,-2.8,anlDP_diffuse,-3.8,-6.9,anlDP_diffuse,-1,-2,anlDP_diffuse,1.7,4.4,anlDP_diffuse,2.5,8.9,anlDP_diffuse,4.2,11.9,anlDP_diffuse,2.2,5.6,anlDP_diffuse,-1.4,-3.1,anlDP_diffuse,-5.8,-10.1,anlDP_diffuse,-2.3,-5.4,anlDP_diffuse,0.9,3.4,anlDP_diffuse,1.8,8,anlDP_diffuse,4.7,11.3,anlDP_diffuse,3,6.9,anlDP_diffuse,-1.1,-2.3,anlDP_diffuse,-5.7,-10.3,anlDP_diffuse,-2.8,-7.1,anlDP_diffuse,0.5,1.8,anlDP_diffuse,1.4,6.3
9,anlDP_Inform,-0.1,-0.6,anlDP_Inform,-0.1,-0.4,anlDP_Inform,-0.5,-1.1,anlDP_Inform,-0.9,-1.6,anlDP_Inform,-0.3,-0.7,anlDP_Inform,-0.2,-0.5,anlDP_Inform,0,-0.2,anlDP_Inform,-0.2,-0.7,anlDP_Inform,-1.3,-4,anlDP_Inform,-0.1,-0.3,anlDP_Inform,-0.2,-0.4,anlDP_Inform,-0.7,-1.7,anlDP_Inform,-0.1,-0.3,anlDP_Inform,-0.1,-0.6,anlDP_Inform,0.3,1,anlDP_Inform,-0.4,-1,anlDP_Inform,-0.2,-0.4,anlDP_Inform,-0.5,-0.8,anlDP_Inform,-0.5,-1.4,anlDP_Inform,-0.4,-2.3,anlDP_Inform,-0.6,-3.2
10,estCB,2,8.5,estCB,-0.4,-1.2,estCB,-9.4,-21.5,estCB,-18,-33.6,estCB,-10.5,-22.5,estCB,-1.2,-3.3,estCB,1.7,6.5,estCB,4,12.3,estCB,0.1,0.2,estCB,-8.3,-19.5,estCB,-18.2,-32,estCB,-8.7,-21.6,estCB,-0.5,-2,estCB,1.9,8.8,estCB,4.5,11.9,estCB,0.8,2,estCB,-8.1,-18.3,estCB,-19.3,-35,estCB,-9.2,-24,estCB,-1.2,-5,estCB,1.1,5.1
