"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0288,-0.0212
"2","PM",0.1,0.0656,-0.0344
"3","PM",0.25,0.1972,-0.0528
"4","PM",0.75,0.814,0.064
"5","PM",0.9,0.9364,0.0364
"6","PM",0.95,0.9692,0.0192
"7","CB",0.05,0.0684,0.0184
"8","CB",0.1,0.1248,0.0248
"9","CB",0.25,0.2572,0.0072
"10","CB",0.75,0.7496,-4e-04
"11","CB",0.9,0.8804,-0.0196
"12","CB",0.95,0.9332,-0.0168
"13","GR",0.05,0.0672,0.0172
"14","GR",0.1,0.1292,0.0292
"15","GR",0.25,0.2792,0.0292
"16","GR",0.75,0.734,-0.016
"17","GR",0.9,0.8752,-0.0248
"18","GR",0.95,0.9332,-0.0168
"19","ML",0.05,0.1572,0.1072
"20","ML",0.1,0.228,0.128
"21","ML",0.25,0.3512,0.1012
"22","ML",0.75,0.6668,-0.0832
"23","ML",0.9,0.7836,-0.1164
"24","ML",0.95,0.8456,-0.1044
