"","quantity","truth","N","ICC","rsr","assumed","estimator","value"
"56","ISEL","Gaussian","N = 25","ICC = 0.5","R = 5","T","GR",0.0334874949036587
"57","ISEL","Gaussian","N = 25","ICC = 0.5","R = 5","DP-diffuse","ML",0.0622705613476562
"58","ISEL","Gaussian","N = 25","ICC = 0.5","R = 5","DP-diffuse","PM",0.0587175813042736
"59","ISEL","Gaussian","N = 25","ICC = 0.5","R = 5","DP-diffuse","CB",0.0369539612576179
"60","ISEL","Gaussian","N = 25","ICC = 0.5","R = 5","DP-diffuse","GR",0.0288200925283341
"61","ISEL","Gaussian","N = 25","ICC = 0.5","R = 10","Gaussian","ML",0.0794684527074151
"62","ISEL","Gaussian","N = 25","ICC = 0.5","R = 10","Gaussian","PM",0.0685109976274366
"63","ISEL","Gaussian","N = 25","ICC = 0.5","R = 10","Gaussian","CB",0.0418099112995517
"64","ISEL","Gaussian","N = 25","ICC = 0.5","R = 10","Gaussian","GR",0.0360195400711385
"65","ISEL","Gaussian","N = 25","ICC = 0.5","R = 10","T","ML",0.0794684527074151
"66","ISEL","Gaussian","N = 25","ICC = 0.5","R = 10","T","PM",0.068253238366565
"67","ISEL","Gaussian","N = 25","ICC = 0.5","R = 10","T","CB",0.0417634388513586
"68","ISEL","Gaussian","N = 25","ICC = 0.5","R = 10","T","GR",0.0354730267419263
"69","ISEL","Gaussian","N = 25","ICC = 0.5","R = 10","DP-diffuse","ML",0.0794684527074151
"70","ISEL","Gaussian","N = 25","ICC = 0.5","R = 10","DP-diffuse","PM",0.063543886699234
"71","ISEL","Gaussian","N = 25","ICC = 0.5","R = 10","DP-diffuse","CB",0.0407121937752445
"72","ISEL","Gaussian","N = 25","ICC = 0.5","R = 10","DP-diffuse","GR",0.0341756931491942
"73","ISEL","Gaussian","N = 25","ICC = 0.9","R = 1","Gaussian","ML",0.0106540481065047
"74","ISEL","Gaussian","N = 25","ICC = 0.9","R = 1","Gaussian","PM",0.0107979491353452
"75","ISEL","Gaussian","N = 25","ICC = 0.9","R = 1","Gaussian","CB",0.0101422512069428
"76","ISEL","Gaussian","N = 25","ICC = 0.9","R = 1","Gaussian","GR",0.00798177313751454
"77","ISEL","Gaussian","N = 25","ICC = 0.9","R = 1","T","ML",0.0106540481065047
"78","ISEL","Gaussian","N = 25","ICC = 0.9","R = 1","T","PM",0.0111722968133376
"79","ISEL","Gaussian","N = 25","ICC = 0.9","R = 1","T","CB",0.010338227970469
"80","ISEL","Gaussian","N = 25","ICC = 0.9","R = 1","T","GR",0.00808536137390536
"81","ISEL","Gaussian","N = 25","ICC = 0.9","R = 1","DP-diffuse","ML",0.0106540481065047
