"","truth","N","ICC","rsr","assumed","estimator","tail_p","quantile","diff"
"273","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","CB","0.95",0.9472,-0.0028
"274","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","GR","0.05",0.0536,0.0036
"275","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","GR","0.1",0.0947999999999999,-0.0052
"276","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","GR","0.25",0.2132,-0.0368
"277","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","GR","0.5",0.5032,0.0032
"278","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","GR","0.75",0.7964,0.0464
"279","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","GR","0.9",0.9116,0.0116
"280","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","GR","0.95",0.9484,-0.0016
"281","Gaussian","N = 25","ICC = 0.5","R = 1","T","ML","0.05",0.1284,0.0784
"282","Gaussian","N = 25","ICC = 0.5","R = 1","T","ML","0.1",0.1856,0.0856
"283","Gaussian","N = 25","ICC = 0.5","R = 1","T","ML","0.25",0.3308,0.0808
"284","Gaussian","N = 25","ICC = 0.5","R = 1","T","ML","0.5",0.5016,0.0016
"285","Gaussian","N = 25","ICC = 0.5","R = 1","T","ML","0.75",0.69,-0.06
"286","Gaussian","N = 25","ICC = 0.5","R = 1","T","ML","0.9",0.816800000000001,-0.0832
"287","Gaussian","N = 25","ICC = 0.5","R = 1","T","ML","0.95",0.8816,-0.0684
"288","Gaussian","N = 25","ICC = 0.5","R = 1","T","PM","0.05",0.02,-0.03
"289","Gaussian","N = 25","ICC = 0.5","R = 1","T","PM","0.1",0.0384,-0.0616
"290","Gaussian","N = 25","ICC = 0.5","R = 1","T","PM","0.25",0.144,-0.106
"291","Gaussian","N = 25","ICC = 0.5","R = 1","T","PM","0.5",0.5184,0.0184
"292","Gaussian","N = 25","ICC = 0.5","R = 1","T","PM","0.75",0.874,0.124
"293","Gaussian","N = 25","ICC = 0.5","R = 1","T","PM","0.9",0.9564,0.0564
"294","Gaussian","N = 25","ICC = 0.5","R = 1","T","PM","0.95",0.976,0.026
"295","Gaussian","N = 25","ICC = 0.5","R = 1","T","CB","0.05",0.048,-0.002
"296","Gaussian","N = 25","ICC = 0.5","R = 1","T","CB","0.1",0.0872,-0.0128
"297","Gaussian","N = 25","ICC = 0.5","R = 1","T","CB","0.25",0.222,-0.028
"298","Gaussian","N = 25","ICC = 0.5","R = 1","T","CB","0.5",0.506,0.006
"299","Gaussian","N = 25","ICC = 0.5","R = 1","T","CB","0.75",0.7896,0.0396
"300","Gaussian","N = 25","ICC = 0.5","R = 1","T","CB","0.9",0.9136,0.0136
"301","Gaussian","N = 25","ICC = 0.5","R = 1","T","CB","0.95",0.948,-0.002
"302","Gaussian","N = 25","ICC = 0.5","R = 1","T","GR","0.05",0.05,0
