"","truth","N","ICC","rsr","assumed","estimator","tail_p","quantile","diff"
"68","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","PM","0.75",0.7236,-0.0264
"69","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","PM","0.9",0.8808,-0.0192
"70","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","PM","0.95",0.9328,-0.0172
"71","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","CB","0.05",0.1644,0.1144
"72","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","CB","0.1",0.222,0.122
"73","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","CB","0.25",0.3416,0.0916
"74","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","CB","0.5",0.4772,-0.0228
"75","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","CB","0.75",0.622,-0.128
"76","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","CB","0.9",0.7528,-0.1472
"77","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","CB","0.95",0.8156,-0.1344
"78","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","GR","0.05",0.154,0.104
"79","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","GR","0.1",0.2068,0.1068
"80","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","GR","0.25",0.3212,0.0712
"81","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","GR","0.5",0.4792,-0.0208
"82","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","GR","0.75",0.6424,-0.1076
"83","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","GR","0.9",0.768,-0.132
"84","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","GR","0.95",0.8264,-0.1236
"85","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","ML","0.05",0.306,0.256
"86","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","ML","0.1",0.3492,0.2492
"87","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","ML","0.25",0.4196,0.1696
"88","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","ML","0.5",0.508,0.008
"89","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","ML","0.75",0.5976,-0.1524
"90","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","ML","0.9",0.6736,-0.2264
"91","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","ML","0.95",0.7164,-0.2336
"92","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","PM","0.05",0.014,-0.036
"93","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","PM","0.1",0.0252,-0.0748
"94","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","PM","0.25",0.1288,-0.1212
"95","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","PM","0.5",0.5488,0.0488
"96","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","PM","0.75",0.9192,0.1692
"97","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","PM","0.9",0.9792,0.0792
"98","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","PM","0.95",0.9892,0.0392
"99","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","CB","0.05",0.0768,0.0268
"100","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","CB","0.1",0.1276,0.0276
