"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0423,-0.0077
"2","PM",0.1,0.0843,-0.0157
"3","PM",0.25,0.2348,-0.0152
"4","PM",0.75,0.7614,0.0114
"5","PM",0.9,0.911,0.011
"6","PM",0.95,0.9563,0.0063
"7","CB",0.05,0.048,-0.002
"8","CB",0.1,0.0943,-0.0057
"9","CB",0.25,0.2437,-0.0063
"10","CB",0.75,0.7509,9e-04
"11","CB",0.9,0.9019,0.0019
"12","CB",0.95,0.9489,-0.0011
"13","GR",0.05,0.0479,-0.0021
"14","GR",0.1,0.0972,-0.0028
"15","GR",0.25,0.2489,-0.0011
"16","GR",0.75,0.7457,-0.0043
"17","GR",0.9,0.8987,-0.0013
"18","GR",0.95,0.9498,-2e-04
"19","ML",0.05,0.0556,0.0056
"20","ML",0.1,0.1082,0.0082
"21","ML",0.25,0.265,0.015
"22","ML",0.75,0.7305,-0.0195
"23","ML",0.9,0.8876,-0.0124
"24","ML",0.95,0.9407,-0.0093
