"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0296,-0.0204
"2","PM",0.1,0.0584,-0.0416
"3","PM",0.25,0.144,-0.106
"4","PM",0.75,0.7492,-8e-04
"5","PM",0.9,0.9632,0.0632
"6","PM",0.95,0.982,0.032
"7","CB",0.05,0.0824000000000001,0.0324
"8","CB",0.1,0.1272,0.0272
"9","CB",0.25,0.2484,-0.0016
"10","CB",0.75,0.7088,-0.0412
"11","CB",0.9,0.9172,0.0172
"12","CB",0.95,0.944,-0.006
"13","GR",0.05,0.0872,0.0372
"14","GR",0.1,0.13,0.03
"15","GR",0.25,0.2428,-0.0072
"16","GR",0.75,0.6892,-0.0608
"17","GR",0.9,0.9188,0.0188
"18","GR",0.95,0.9572,0.0072
"19","ML",0.05,0.1924,0.1424
"20","ML",0.1,0.2372,0.1372
"21","ML",0.25,0.3304,0.0804
"22","ML",0.75,0.634,-0.116
"23","ML",0.9,0.836000000000001,-0.064
"24","ML",0.95,0.8812,-0.0688
