"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0328,-0.0172
"2","PM",0.1,0.0737999999999999,-0.0262
"3","PM",0.25,0.2176,-0.0324
"4","PM",0.75,0.7838,0.0338
"5","PM",0.9,0.9258,0.0258
"6","PM",0.95,0.9672,0.0172
"7","CB",0.05,0.0516,0.0016
"8","CB",0.1,0.1022,0.0022
"9","CB",0.25,0.254,0.004
"10","CB",0.75,0.7526,0.0026
"11","CB",0.9,0.898,-0.002
"12","CB",0.95,0.945,-0.005
"13","GR",0.05,0.0528,0.0028
"14","GR",0.1,0.1022,0.0022
"15","GR",0.25,0.2516,0.0016
"16","GR",0.75,0.7516,0.0016
"17","GR",0.9,0.8976,-0.0024
"18","GR",0.95,0.9472,-0.0028
"19","ML",0.05,0.0792,0.0292
"20","ML",0.1,0.136,0.036
"21","ML",0.25,0.286,0.036
"22","ML",0.75,0.7234,-0.0266
"23","ML",0.9,0.8646,-0.0354
"24","ML",0.95,0.9202,-0.0298
