"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0175,-0.0325
"2","PM",0.1,0.0473,-0.0527
"3","PM",0.25,0.1852,-0.0648
"4","PM",0.75,0.8082,0.0582
"5","PM",0.9,0.9541,0.0541
"6","PM",0.95,0.9828,0.0328
"7","CB",0.05,0.1349,0.0849
"8","CB",0.1,0.1923,0.0923
"9","CB",0.25,0.3154,0.0654
"10","CB",0.75,0.6764,-0.0736
"11","CB",0.9,0.8061,-0.0939
"12","CB",0.95,0.8617,-0.0883
"13","GR",0.05,0.1353,0.0853
"14","GR",0.1,0.1915,0.0915
"15","GR",0.25,0.3203,0.0703
"16","GR",0.75,0.6763,-0.0737
"17","GR",0.9,0.8047,-0.0953
"18","GR",0.95,0.8611,-0.0889
"19","ML",0.05,0.3045,0.2545
"20","ML",0.1,0.3412,0.2412
"21","ML",0.25,0.4151,0.1651
"22","ML",0.75,0.5851,-0.1649
"23","ML",0.9,0.6544,-0.2456
"24","ML",0.95,0.6958,-0.2542
