"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0322,-0.0178
"2","PM",0.1,0.0659999999999999,-0.034
"3","PM",0.25,0.17,-0.08
"4","PM",0.75,0.738,-0.012
"5","PM",0.9,0.9778,0.0778
"6","PM",0.95,0.9888,0.0388
"7","CB",0.05,0.1024,0.0524
"8","CB",0.1,0.1484,0.0484
"9","CB",0.25,0.2614,0.0114
"10","CB",0.75,0.6818,-0.0682
"11","CB",0.9,0.9442,0.0442
"12","CB",0.95,0.9674,0.0174
"13","GR",0.05,0.104,0.054
"14","GR",0.1,0.149,0.049
"15","GR",0.25,0.253,0.003
"16","GR",0.75,0.6768,-0.0732
"17","GR",0.9,0.946,0.046
"18","GR",0.95,0.970599999999999,0.0206
"19","ML",0.05,0.1894,0.1394
"20","ML",0.1,0.2356,0.1356
"21","ML",0.25,0.3306,0.0806
"22","ML",0.75,0.6312,-0.1188
"23","ML",0.9,0.8834,-0.0166
"24","ML",0.95,0.9262,-0.0238
