"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0.0048
"[-5.76,-5.52)",0,2e-04,0,0.0048
"[-5.52,-5.28)",0,0,4e-04,0.0058
"[-5.28,-5.04)",0,4e-04,0,0.0046
"[-5.04,-4.8)",0,0,4e-04,0.0078
"[-4.8,-4.56)",0,2e-04,2e-04,0.0058
"[-4.56,-4.32)",0,8e-04,2e-04,0.0072
"[-4.32,-4.08)",0,8e-04,6e-04,0.0082
"[-4.08,-3.84)",0,0.0012,6e-04,0.0092
"[-3.84,-3.6)",2e-04,8e-04,0.0012,0.01
"[-3.6,-3.36)",0,0.0012,0.0018,0.011
"[-3.36,-3.12)",0,0.0014,0.0016,0.0118
"[-3.12,-2.88)",4e-04,0.0032,0.0032,0.0146
"[-2.88,-2.64)",2e-04,0.0028,0.0036,0.0144
"[-2.64,-2.4)",6e-04,0.0048,0.0046,0.0156
"[-2.4,-2.16)",0.0014,0.0078,0.0072,0.0212
"[-2.16,-1.92)",0.001,0.0076,0.009,0.0238
"[-1.92,-1.68)",0.002,0.011,0.0116,0.025
"[-1.68,-1.44)",0.0034,0.0168,0.015,0.0274
"[-1.44,-1.2)",0.008,0.0232,0.0212,0.0244
"[-1.2,-0.96)",0.0104,0.0316,0.0306,0.025
"[-0.96,-0.72)",0.02,0.045,0.0466,0.0324
"[-0.72,-0.48)",0.0592,0.0738,0.0698,0.0306
"[-0.48,-0.24)",0.1296,0.0956,0.0996,0.0294
"[-0.24,0)",0.1774,0.1208,0.121,0.0304
"[0,0.24)",0.211,0.1222,0.1284,0.0368
"[0.24,0.48)",0.1788,0.1152,0.1142,0.0342
"[0.48,0.72)",0.0896,0.0926,0.0892,0.0356
"[0.72,0.96)",0.0474,0.0642,0.063,0.0296
"[0.96,1.2)",0.0336,0.0464,0.0442,0.0244
"[1.2,1.44)",0.0106,0.0314,0.0304,0.0278
"[1.44,1.68)",0.0058,0.022,0.0204,0.0242
"[1.68,1.92)",0.0032,0.0142,0.0152,0.022
"[1.92,2.16)",0.0022,0.0094,0.0122,0.0208
"[2.16,2.4)",0.0018,0.0048,0.0078,0.0236
"[2.4,2.64)",0.001,0.0062,0.0066,0.0166
"[2.64,2.88)",4e-04,0.0056,0.0056,0.0174
"[2.88,3.12)",4e-04,0.0036,0.0034,0.0132
"[3.12,3.36)",0,0.0024,0.0034,0.0126
"[3.36,3.6)",0,0.0014,0.0012,0.015
"[3.6,3.84)",4e-04,0.0014,0.0012,0.01
"[3.84,4.08)",0,0.0012,0.0012,0.0088
"[4.08,4.32)",0,6e-04,0.001,0.0098
"[4.32,4.56)",0,0.0014,6e-04,0.0102
"[4.56,4.8)",0,0.0012,4e-04,0.0076
"[4.8,5.04)",0,2e-04,2e-04,0.0066
"[5.04,5.28)",0,2e-04,0,0.0092
"[5.28,5.52)",0,4e-04,0,0.0072
"[5.52,5.76)",0,0,0,0.0068
"[5.76,6)",0,2e-04,2e-04,0.0058
