"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,2e-04,0.007
"[-5.76,-5.52)",0,0,2e-04,0.0058
"[-5.52,-5.28)",0,0,0,0.0056
"[-5.28,-5.04)",0,6e-04,4e-04,0.0092
"[-5.04,-4.8)",0,4e-04,0,0.0106
"[-4.8,-4.56)",2e-04,2e-04,8e-04,0.0092
"[-4.56,-4.32)",0,4e-04,4e-04,0.0122
"[-4.32,-4.08)",0,4e-04,0.001,0.0136
"[-4.08,-3.84)",0,8e-04,6e-04,0.0162
"[-3.84,-3.6)",0,0.0014,0.0012,0.019
"[-3.6,-3.36)",0,0.0016,0.0018,0.0192
"[-3.36,-3.12)",2e-04,0.001,0.002,0.017
"[-3.12,-2.88)",0,0.003,0.0036,0.0198
"[-2.88,-2.64)",6e-04,0.0034,0.0036,0.0208
"[-2.64,-2.4)",4e-04,0.0052,0.0056,0.0202
"[-2.4,-2.16)",2e-04,0.0086,0.006,0.023
"[-2.16,-1.92)",0.0016,0.0124,0.0084,0.0254
"[-1.92,-1.68)",0.003,0.0158,0.0138,0.0252
"[-1.68,-1.44)",0.003,0.025,0.02,0.0254
"[-1.44,-1.2)",0.0192,0.0384,0.028,0.0222
"[-1.2,-0.96)",0.0224,0.048,0.043,0.0276
"[-0.96,-0.72)",0.0328,0.0662,0.0572,0.029
"[-0.72,-0.48)",0.0962,0.0788,0.077,0.0252
"[-0.48,-0.24)",0.1148,0.0858,0.0946,0.0294
"[-0.24,0)",0.1656,0.0892,0.1076,0.0304
"[0,0.24)",0.172,0.0918,0.1128,0.0262
"[0.24,0.48)",0.162,0.0906,0.1038,0.0252
"[0.48,0.72)",0.1084,0.0748,0.0874,0.0334
"[0.72,0.96)",0.0492,0.0694,0.0664,0.025
"[0.96,1.2)",0.0226,0.0542,0.047,0.0272
"[1.2,1.44)",0.008,0.0356,0.0312,0.0276
"[1.44,1.68)",0.0092,0.0296,0.0196,0.0238
"[1.68,1.92)",0.006,0.0198,0.0142,0.029
"[1.92,2.16)",0.001,0.0152,0.0092,0.021
"[2.16,2.4)",8e-04,0.0076,0.0092,0.0206
"[2.4,2.64)",2e-04,0.0064,0.0038,0.0248
"[2.64,2.88)",2e-04,0.0056,0.0042,0.023
"[2.88,3.12)",2e-04,0.0038,0.003,0.0182
"[3.12,3.36)",0,0.0022,0.0022,0.0154
"[3.36,3.6)",0,0.0022,0.0014,0.0184
"[3.6,3.84)",0,0.0012,0.0022,0.018
"[3.84,4.08)",0,0.0014,0.0018,0.0146
"[4.08,4.32)",0,4e-04,8e-04,0.0118
"[4.32,4.56)",0,2e-04,6e-04,0.0124
"[4.56,4.8)",0,8e-04,4e-04,0.011
"[4.8,5.04)",0,0,0,0.009
"[5.04,5.28)",0,2e-04,4e-04,0.0064
"[5.28,5.52)",0,0,4e-04,0.008
"[5.52,5.76)",0,0,2e-04,0.0052
"[5.76,6)",0,0,2e-04,0.0056
