"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.026,-0.024
"2","PM",0.1,0.045,-0.055
"3","PM",0.25,0.0936,-0.1564
"4","PM",0.75,0.729,-0.021
"5","PM",0.9,0.9924,0.0924
"6","PM",0.95,0.9982,0.0482
"7","CB",0.05,0.1126,0.0626
"8","CB",0.1,0.1522,0.0522
"9","CB",0.25,0.2448,-0.0052
"10","CB",0.75,0.6304,-0.1196
"11","CB",0.9,0.9352,0.0352
"12","CB",0.95,0.9622,0.0122
"13","GR",0.05,0.0938,0.0438
"14","GR",0.1,0.127,0.027
"15","GR",0.25,0.2088,-0.0412
"16","GR",0.75,0.6528,-0.0972
"17","GR",0.9,0.947,0.047
"18","GR",0.95,0.9654,0.0154
"19","ML",0.05,0.3536,0.3036
"20","ML",0.1,0.3764,0.2764
"21","ML",0.25,0.417,0.167
"22","ML",0.75,0.5392,-0.2108
"23","ML",0.9,0.6882,-0.2118
"24","ML",0.95,0.7264,-0.2236
