"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0454,-0.0046
"2","PM",0.1,0.0921,-0.0079
"3","PM",0.25,0.2452,-0.0048
"4","PM",0.75,0.7565,0.0065
"5","PM",0.9,0.910200000000001,0.0102
"6","PM",0.95,0.9551,0.0051
"7","CB",0.05,0.0525999999999999,0.0026
"8","CB",0.1,0.1017,0.0017
"9","CB",0.25,0.2585,0.0085
"10","CB",0.75,0.7464,-0.0036
"11","CB",0.9,0.9022,0.0022
"12","CB",0.95,0.9485,-0.0015
"13","GR",0.05,0.052,0.002
"14","GR",0.1,0.1041,0.0041
"15","GR",0.25,0.2607,0.0107
"16","GR",0.75,0.7422,-0.0078
"17","GR",0.9,0.8977,-0.0023
"18","GR",0.95,0.9482,-0.0018
"19","ML",0.05,0.0589,0.0089
"20","ML",0.1,0.114,0.014
"21","ML",0.25,0.2735,0.0235
"22","ML",0.75,0.7326,-0.0174
"23","ML",0.9,0.8872,-0.0128
"24","ML",0.95,0.9425,-0.0075
